Area_slug,Year,type,WX_heavy_rain_days,WX_rh_avg,WX_tavg_avg,WX_tmax_avg,WX_tmin_avg,WX_total_rain_mm,WX_wet_days,WX_wind_speed_avg
iba zambales,2028,forecast,15.608141671890296,79.87107210930145,27.647970330549672,31.521728740109364,23.73651167053283,3184.863662875308,103.90259244269802,2.0067812304415096
iba zambales,2029,forecast,15.091032110891964,80.00209323888234,27.617997038454092,31.594965768350235,23.653356414431812,3138.8595496741923,101.86821730064314,1.9890522490525908
infanta quezon,2018,history,10.0,86.67671232876712,26.78835616438356,30.732602739726023,22.844109589041096,2831.84,183.0,1.8904109589041096
infanta quezon,2019,history,6.0,86.00821917808219,27.65945205479452,31.32109589041096,23.997808219178083,2046.33,166.0,1.632876712328767
infanta quezon,2020,history,26.0,87.8360655737705,27.47185792349727,30.97486338797814,23.968852459016396,4468.9,213.0,1.6775956284153006
infanta quezon,2021,history,15.0,85.57260273972602,27.48397260273973,30.80767123287671,24.160273972602734,3540.9,224.0,1.9397260273972603
infanta quezon,2022,history,17.0,86.67671232876712,27.5127397260274,30.96794520547945,24.057534246575344,4111.6,238.0,1.6602739726027398
infanta quezon,2023,history,18.0,84.51780821917808,27.962876712328768,31.2441095890411,24.68164383561644,3423.7,196.0,1.8246575342465756
infanta quezon,2024,forecast,24.094996095455333,85.10359451587163,28.0299749517583,31.141258283200443,24.92810293821686,4370.115111058407,233.90163922539256,1.7701179164092091
infanta quezon,2025,forecast,28.20574151934508,84.79051530244739,28.189847007860553,31.179633024149627,25.216246046624978,4735.375231778145,243.96500841897048,1.7710332119963803
infanta quezon,2026,forecast,33.01780384210819,84.47858784523778,28.35063091188154,31.21805505351375,25.507719791589302,5131.164286495651,254.4613433662799,1.7719489808661526
infanta quezon,2027,forecast,38.650831775091994,84.16780790716064,28.512331864646548,31.256524429565335,25.802562671826447,5560.033924729114,265.4092719582685,1.7728652232632516
infanta quezon,2028,forecast,45.24488679048001,83.85817126672116,28.674955096644283,31.29504121064876,26.10081363105837,6024.749066308185,276.82822353107485,1.7737819394325305
infanta quezon,2029,forecast,52.96392565612464,83.54967371795439,28.838505868196172,31.333605455180287,26.402512063156227,6528.305726794614,288.7384633473555,1.774699129618967
manila,2018,history,14.0,72.92876712328767,28.56493150684932,31.68383561643836,25.446027397260277,2507.4,122.0,2.263013698630137
manila,2019,history,8.0,70.73698630136987,28.74684931506849,32.02082191780822,25.47287671232877,1887.0,100.0,2.654794520547945
manila,2020,history,5.0,70.45882352941176,28.91617647058824,32.29294117647059,25.53941176470588,1453.1,95.0,2.476470588235294
manila,2021,history,9.0,71.77808219178083,28.546301369863013,31.993972602739724,25.0986301369863,1999.5,122.0,2.5835616438356164
manila,2022,history,9.0,71.18904109589042,28.757534246575343,32.14931506849315,25.36575342465753,2057.4,128.0,2.4794520547945207
