year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n
2021,4,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,81879.3543,54
2021,4,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,19899.5886,14
2021,4,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,40104.3581,30
2021,4,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,60169.6409,41
2021,4,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,310394.8483,759
2021,4,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,26814.1117,37
2021,4,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,217418.4377,174
2021,4,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,176511.794,177
2021,4,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,104228.7949,595
2021,4,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,79130.0354,57
2021,4,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,225807.8868,139
2021,4,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,83937.7595,53
2021,4,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,45562.6485,31
2021,4,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,38174.8994,27
2021,4,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,43787.5258,23
2021,4,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,301903.7178,128
2021,4,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,176480.2558,69
2021,4,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,155817.2159,67
2021,4,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,13275.0426,8
2021,4,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,122667.1546,49
2021,4,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,189815.553,108
2021,4,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,222287.1095,127
2021,4,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,159210.5051,86
2021,4,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,74963.9345,43
2021,4,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,45648.4456,41
2021,4,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,132969.6817,73
2021,4,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,123757.3717,425
2021,4,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,51961.9733,47
2021,4,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,313323.6176,188
2021,5,7501,NCR,NCR,Caloocan City,Caloocan City,468351.4019,165
2021,5,NA,NCR,NCR,City of Manila,City of Manila,834216.3355,271
2021,5,7601,NCR,NCR,Las Pinas City,Las Piñas City,167070.3366,109
2021,5,7602,NCR,NCR,Makati City,Makati City,610888.1774,278
2021,5,7502,NCR,NCR,Malabon City,Malabon City,110389.4702,125
2021,5,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,229049.7726,167
2021,5,7402,NCR,NCR,Marikina City,Marikina City,187014.6291,135
2021,5,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,271991.0354,157
2021,5,7503,NCR,NCR,Navotas City,Navotas City,100684.4269,154
2021,5,7604,NCR,NCR,Paranaque City,Parañaque City,281686.259,149
2021,5,7605,NCR,NCR,Pasay City,Pasay City,265199.736,144
2021,5,7403,NCR,NCR,Pasig City,Pasig City,493248.586,184
2021,5,7404,NCR,NCR,Quezon City,Quezon City,1223809.733,272
2021,5,7405,NCR,NCR,San Juan City,San Juan City,55762.1225,58
2021,5,7607,NCR,NCR,Taguig City,Taguig City,473490.4466,213
2021,5,7504,NCR,NCR,Valenzuela City,Valenzuela City,248066.7662,162
2021,5,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,58420.8201,27
2021,5,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,101737.5705,13
2021,5,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,20812.164,8
2021,5,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,,
2021,5,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,48669.2235,8
2021,5,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,129717.0394,21
2021,5,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,6833.8378,1
2021,5,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,,
2021,5,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,,
2021,5,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,299404.0757,212
2021,5,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,24282.4128,14
2021,5,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,466715.7044,87
2021,5,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,374932.3604,107
2021,5,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,120861.0574,158
2021,5,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,69880.1353,13
2021,5,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,118133.6126,14
2021,5,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,261724.9073,34
2021,5,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,41456.4892,10
2021,5,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,114682.4811,15
2021,5,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,58863.0619,7
2021,5,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,322427.148,36
2021,5,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,647742.8931,63
2021,5,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,29829.9538,6
2021,5,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,,
2021,5,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,394621.7237,37
2021,5,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,334060.0655,48
2021,5,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,191286.6459,28
2021,5,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,98915.6527,14
2021,5,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,114718.7581,16
2021,5,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,30133.8289,11
2021,5,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,35937.121,10
2021,5,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,102990.299,103
2021,5,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,,
2021,5,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,315099.5336,45
2021,6,7501,NCR,NCR,Caloocan City,Caloocan City,406451.5113,142
2021,6,NA,NCR,NCR,City of Manila,City of Manila,746364.6868,213
2021,6,7601,NCR,NCR,Las Pinas City,Las Piñas City,185979.4699,124
2021,6,7602,NCR,NCR,Makati City,Makati City,670966.5919,284
