Area_slug,Units,Occupied,occ_rate0,Year,Area_display,Region,Household_Population,Units_per_1k
bulacan,1022814.4865315196,971673.7622049436,0.95,2027,Bulacan,Region III (Central Luzon),4450943.978877277,229.79720512894843
bulacan,1041733.8987028868,989647.2037677424,0.95,2028,Bulacan,Region III (Central Luzon),4556798.001307157,228.61094531819415
bulacan,1060999.5178819783,1007949.5419878796,0.95,2029,Bulacan,Region III (Central Luzon),4665148.37695174,227.4310337317175
caloocan,379922.0,379922.0,0.95,2020,Caloocan,NCR,1659025.0,229.0031795783668
caloocan,379922.0,360925.9,0.95,2021,Caloocan,NCR,1659025.0,229.0031795783668
caloocan,391849.1658611156,372256.7075680598,0.95,2022,Caloocan,NCR,1725386.0,227.108117175586
caloocan,398332.8669500073,378416.2236025069,0.95,2023,Caloocan,NCR,1762091.808748545,226.05681779595082
caloocan,398332.8669500073,378416.2236025069,0.95,2024,Caloocan,NCR,1762091.808748545,226.05681779595082
caloocan,399509.6247992984,379534.1435593335,0.95,2025,Caloocan,NCR,1768784.703005889,225.86673444222356
caloocan,400689.8590351765,380655.36608341767,0.95,2026,Caloocan,NCR,1775503.018659165,225.67681092300927
caloocan,401873.5799276084,381779.900931228,0.95,2027,Caloocan,NCR,1782246.8522656106,225.4870471039085
caloocan,403060.7977768998,382907.7578880548,0.95,2028,Caloocan,NCR,1789016.3007492104,225.2974428506351
caloocan,404251.5229137865,384038.9467680972,0.95,2029,Caloocan,NCR,1795811.461402096,225.10799802901553
cavite,1036970.0,1036970.0,0.95,2020,Cavite,Region IV-A (Calabarzon),4318663.0,240.11366480783522
cavite,1074672.723166349,1020939.0870080316,0.95,2021,Cavite,Region IV-A (Calabarzon),4491409.5200000005,239.2729316667497
cavite,1128453.5466621355,1072030.8693290288,0.95,2022,Cavite,Region IV-A (Calabarzon),4671065.9008,241.58373498195957
cavite,1165810.0944286892,1107519.589707255,0.95,2023,Cavite,Region IV-A (Calabarzon),4857908.536832,239.98189459304885
cavite,1172486.4280043798,1113862.1066041607,0.95,2024,Cavite,Region IV-A (Calabarzon),4893677.307926236,239.592101037254
