Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price,Price_to_Income
laguna,Laguna,Region IV-A (Calabarzon),2023,440820.18,FamilyIncome_Total,1029698.255872,428106.1733242341,,
quezon,Quezon,Region IV-A (Calabarzon),2018,105870.62,FamilyIncome_Total,,,,
quezon city,Quezon City,NCR,2018,105870.62,FamilyIncome_Total,,,,
quezon,Quezon,Region IV-A (Calabarzon),2021,105817.25,FamilyIncome_Total,503051.12,210350.8883948017,,
quezon city,Quezon City,NCR,2021,105817.25,FamilyIncome_Total,738724.0,143243.28165864383,,
quezon,Quezon,Region IV-A (Calabarzon),2023,122275.35,FamilyIncome_Total,544100.0913920001,224729.515643301,,
quezon city,Quezon City,NCR,2023,122275.35,FamilyIncome_Total,784617.1753445307,155840.7766772478,16247500.0,104.25705227104451
lucena,Lucena,Region IV-A (Calabarzon),2018,23064.57,FamilyIncome_Total,,,,
lucena,Lucena,Region IV-A (Calabarzon),2021,21943.32,FamilyIncome_Total,69581.2,315362.77040349983,,
lucena,Lucena,Region IV-A (Calabarzon),2023,24776.36,FamilyIncome_Total,75259.02592,329214.46560226753,,
rizal,Rizal,Region IV-A (Calabarzon),2018,333903.8,FamilyIncome_Total,,,,
rizal,Rizal,Region IV-A (Calabarzon),2021,322250.62,FamilyIncome_Total,815778.0800000001,395022.4060935787,,
rizal,Rizal,Region IV-A (Calabarzon),2023,393926.36,FamilyIncome_Total,882345.5713280002,446453.6036681292,,
angeles,Angeles,Region III (Central Luzon),2024,69727.85,FamilyIncome_Total,130531.58037747465,534183.7568989756,,
angeles,Angeles,Region III (Central Luzon),2025,73911.52100000001,FamilyIncome_Total,133637.74608789518,553073.6873651514,,
angeles,Angeles,Region III (Central Luzon),2026,78346.21226000001,FamilyIncome_Total,136817.2075865217,572634.2003468733,,
angeles,Angeles,Region III (Central Luzon),2027,83046.98499560003,FamilyIncome_Total,140071.67969984855,592889.1919733994,,
angeles,Angeles,Region III (Central Luzon),2028,88029.80409533603,FamilyIncome_Total,143402.9170272792,613863.4131033075,,
angeles,Angeles,Region III (Central Luzon),2029,93311.5923410562,FamilyIncome_Total,146812.71485548612,635582.5000096667,,
aurora,Aurora,Region III (Central Luzon),2024,17467.09,FamilyIncome_Total,63992.932535606094,272953.42325937626,,
aurora,Aurora,Region III (Central Luzon),2025,18515.1154,FamilyIncome_Total,65515.72611687232,282605.6658056605,,
aurora,Aurora,Region III (Central Luzon),2026,19626.022324,FamilyIncome_Total,67074.45286018442,292600.5578444317,,
aurora,Aurora,Region III (Central Luzon),2027,20803.583663440004,FamilyIncome_Total,68669.95345693562,302950.30965014955,,
aurora,Aurora,Region III (Central Luzon),2028,22051.798683246405,FamilyIncome_Total,70303.08809713453,313667.5682407927,,
aurora,Aurora,Region III (Central Luzon),2029,23374.906604241198,FamilyIncome_Total,71974.73691766897,324765.43305714993,,
bataan,Bataan,Region III (Central Luzon),2024,83190.7,FamilyIncome_Total,234422.34544106585,354875.2992957076,,
bataan,Bataan,Region III (Central Luzon),2025,88182.142,FamilyIncome_Total,240000.72462761748,367424.4823086366,,
bataan,Bataan,Region III (Central Luzon),2026,93473.07052,FamilyIncome_Total,245710.73610217567,380419.1546645744,,
bataan,Bataan,Region III (Central Luzon),2027,99081.45475120004,FamilyIncome_Total,251555.4595305781,393875.1913239875,,
bataan,Bataan,Region III (Central Luzon),2028,105026.34203627202,FamilyIncome_Total,257538.0460070373,407809.03507127694,,
bataan,Bataan,Region III (Central Luzon),2029,111327.92255844836,FamilyIncome_Total,263661.71969624405,422237.7168999185,,
batangas,Batangas,Region IV-A (Calabarzon),2024,327130.55,FamilyIncome_Total,811550.3660550283,403093.3429186802,,
batangas,Batangas,Region IV-A (Calabarzon),2025,346758.38300000003,FamilyIncome_Total,831755.6074356416,416899.3631062849,,
batangas,Batangas,Region IV-A (Calabarzon),2026,367563.88598,FamilyIncome_Total,852462.9414158168,431178.72710047656,,
batangas,Batangas,Region IV-A (Calabarzon),2027,389617.7191388001,FamilyIncome_Total,873684.8209404508,445947.6802165434,,
batangas,Batangas,Region IV-A (Calabarzon),2028,412994.7822871281,FamilyIncome_Total,895434.007220719,461223.0258810434,,
batangas,Batangas,Region IV-A (Calabarzon),2029,437774.4692243558,FamilyIncome_Total,917723.5773503532,477022.14482523815,,
bulacan,Bulacan,Region III (Central Luzon),2024,342693.71,FamilyIncome_Total,1032880.5097697856,331784.4675725187,2239978.2102046786,6.751305227135393
