year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n,UNEMP_w,LF_w,POP15p_w,UNEMP_n,LF_n,POP15p_n
2024,3,7405,NCR,NCR,San Juan City,San Juan City,50782,53,,,,,,
2024,3,7607,NCR,NCR,Taguig City,Taguig City,690574,228,,,,,,
2024,3,7504,NCR,NCR,Valenzuela City,Valenzuela City,267922,159,,,,,,
2024,3,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,165968,76,,,,,,
2024,3,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,55234,5,,,,,,
2024,3,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,219560,27,,,,,,
2024,3,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,189584,20,,,,,,
2024,3,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,71227,10,,,,,,
2024,3,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,,,,,,,,
2024,3,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,,,,,,,,
2024,3,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,23386,4,,,,,,
2024,3,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,,,,,,,,
2024,3,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,388362,192,,,,,,
2024,3,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,33511,12,,,,,,
2024,3,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,143699,31,,,,,,
2024,3,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,41266,8,,,,,,
2024,3,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,137042,170,,,,,,
2024,3,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,130336,20,,,,,,
2024,3,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,477998,59,,,,,,
2024,3,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,391035,50,,,,,,
2024,3,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,33132,7,,,,,,
2024,3,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,16031,6,,,,,,
2024,3,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,33287,7,,,,,,
2024,3,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,377230,38,,,,,,
2024,3,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,396776,34,,,,,,
2024,3,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,251551,24,,,,,,
2024,3,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,5509,2,,,,,,
2024,3,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,,,,,,,,
2024,3,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,58535,11,,,,,,
2024,3,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,198922,25,,,,,,
2024,3,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,84727,14,,,,,,
2024,3,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,246814,31,,,,,,
2024,3,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,9990,2,,,,,,
2024,3,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,407843,52,,,,,,
2024,3,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,142492,111,,,,,,
2024,3,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,12493,3,,,,,,
2024,3,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,254426,41,,,,,,
2024,4,7501,NCR,NCR,Caloocan City,Caloocan City,409008,477,,,,,,
2024,4,NA,NCR,NCR,City of Manila,City of Manila,871315,915,,,,,,
2024,4,3901,NCR,NCR,City of Manila,City of Manila,252348,248,,,,,,
2024,4,3902,NCR,NCR,City of Manila,City of Manila,62037,77,,,,,,
2024,4,3903,NCR,NCR,City of Manila,City of Manila,23759,36,,,,,,
2024,4,3904,NCR,NCR,City of Manila,City of Manila,14956,15,,,,,,
2024,4,3905,NCR,NCR,City of Manila,City of Manila,62584,73,,,,,,
2024,4,3906,NCR,NCR,City of Manila,City of Manila,130681,135,,,,,,
2024,4,3907,NCR,NCR,City of Manila,City of Manila,11231,12,,,,,,
2024,4,3908,NCR,NCR,City of Manila,City of Manila,46367,48,,,,,,
2024,4,3909,NCR,NCR,City of Manila,City of Manila,28529,29,,,,,,
2024,4,3910,NCR,NCR,City of Manila,City of Manila,55745,74,,,,,,
2024,4,3911,NCR,NCR,City of Manila,City of Manila,27833,22,,,,,,
2024,4,3912,NCR,NCR,City of Manila,City of Manila,18822,19,,,,,,
2024,4,3913,NCR,NCR,City of Manila,City of Manila,43602,48,,,,,,
2024,4,3914,NCR,NCR,City of Manila,City of Manila,92823,79,,,,,,
2024,4,7601,NCR,NCR,Las Pinas City,Las Piñas City,212738,489,,,,,,
2024,4,7602,NCR,NCR,Makati City,Makati City,756406,1054,,,,,,
2024,4,7502,NCR,NCR,Malabon City,Malabon City,135021,434,,,,,,
2024,4,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,287106,502,,,,,,
2024,4,7402,NCR,NCR,Marikina City,Marikina City,246389,545,,,,,,
2024,4,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,369340,704,,,,,,
2024,4,7503,NCR,NCR,Navotas City,Navotas City,73111,501,,,,,,
2024,4,7604,NCR,NCR,Paranaque City,Parañaque City,401743,721,,,,,,
2024,4,7605,NCR,NCR,Pasay City,Pasay City,324293,630,,,,,,
2024,4,7403,NCR,NCR,Pasig City,Pasig City,525749,692,,,,,,
2024,4,7404,NCR,NCR,Quezon City,Quezon City,1799038,1391,,,,,,
2024,4,7405,NCR,NCR,San Juan City,San Juan City,66331,189,,,,,,
2024,4,7607,NCR,NCR,Taguig City,Taguig City,624428,911,,,,,,
