year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n,UNEMP_w,LF_w,POP15p_w,UNEMP_n,LF_n,POP15p_n
2024,5,3912,NCR,NCR,City of Manila,City of Manila,43577.7393,10,,,,,,
2024,5,3913,NCR,NCR,City of Manila,City of Manila,1348.0553,1,,,,,,
2024,5,3914,NCR,NCR,City of Manila,City of Manila,3243.8642,1,,,,,,
2024,5,7601,NCR,NCR,Las Pinas City,Las Piñas City,224541.4711,118,,,,,,
2024,5,7602,NCR,NCR,Makati City,Makati City,704804.0024,201,,,,,,
2024,5,7502,NCR,NCR,Malabon City,Malabon City,136389.2516,141,,,,,,
2024,5,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,285555.6611,164,,,,,,
2024,5,7402,NCR,NCR,Marikina City,Marikina City,224788.2392,118,,,,,,
2024,5,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,267461.4833,155,,,,,,
2024,5,7503,NCR,NCR,Navotas City,Navotas City,107786.0577,184,,,,,,
2024,5,7604,NCR,NCR,Paranaque City,Parañaque City,386270.6416,145,,,,,,
2024,5,7605,NCR,NCR,Pasay City,Pasay City,349781.7579,177,,,,,,
2024,5,7403,NCR,NCR,Pasig City,Pasig City,551262.4715,194,,,,,,
2024,5,7404,NCR,NCR,Quezon City,Quezon City,1819733.831,322,,,,,,
2024,5,7405,NCR,NCR,San Juan City,San Juan City,88893.5322,50,,,,,,
2024,5,7607,NCR,NCR,Taguig City,Taguig City,613454.8237,214,,,,,,
2024,5,7504,NCR,NCR,Valenzuela City,Valenzuela City,261586.5646,121,,,,,,
