Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
NCR,NCR,Pasay City,2024,5,340803,TRUE,,
NCR,NCR,Pasay City,2024,6,331535,TRUE,,
NCR,NCR,Pasay City,2024,7,339846,TRUE,,
NCR,NCR,Pasay City,2024,8,294408,TRUE,,
NCR,NCR,Pasay City,2024,9,355486,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasay City,2024,10,338278,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasay City,2024,11,328437,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasay City,2024,12,345463,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasig City,2024,1,536107,TRUE,,
NCR,NCR,Pasig City,2024,2,502388,TRUE,,
NCR,NCR,Pasig City,2024,3,593311,TRUE,,
NCR,NCR,Pasig City,2024,4,526181,TRUE,,
NCR,NCR,Pasig City,2024,5,551715,TRUE,,
NCR,NCR,Pasig City,2024,6,527069,TRUE,,
NCR,NCR,Pasig City,2024,7,556784,TRUE,,
NCR,NCR,Pasig City,2024,8,526522,TRUE,,
NCR,NCR,Pasig City,2024,9,531990,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasig City,2024,10,548053,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasig City,2024,11,517175,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Pasig City,2024,12,557502,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Quezon City,2024,1,1742223,TRUE,,
NCR,NCR,Quezon City,2024,2,1682591,TRUE,,
NCR,NCR,Quezon City,2024,3,2057732,TRUE,,
NCR,NCR,Quezon City,2024,4,1786168,TRUE,,
NCR,NCR,Quezon City,2024,5,1806716,TRUE,,
NCR,NCR,Quezon City,2024,6,1906622,TRUE,,
NCR,NCR,Quezon City,2024,7,1738936,TRUE,,
NCR,NCR,Quezon City,2024,8,1776387,TRUE,,
NCR,NCR,Quezon City,2024,9,1762268,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Quezon City,2024,10,1810941,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Quezon City,2024,11,1892331,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Quezon City,2024,12,1939831,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,San Juan City,2024,1,59883,TRUE,,
NCR,NCR,San Juan City,2024,2,68391,TRUE,,
NCR,NCR,San Juan City,2024,3,48293,TRUE,,
NCR,NCR,San Juan City,2024,4,63080,TRUE,,
NCR,NCR,San Juan City,2024,5,84537,TRUE,,
NCR,NCR,San Juan City,2024,6,39091,TRUE,,
NCR,NCR,San Juan City,2024,7,48429,TRUE,,
NCR,NCR,San Juan City,2024,8,98053,TRUE,,
NCR,NCR,San Juan City,2024,9,69797,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,San Juan City,2024,10,62744,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,San Juan City,2024,11,70713,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,San Juan City,2024,12,91033,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Taguig City,2024,1,631789,TRUE,,
NCR,NCR,Taguig City,2024,2,683479,TRUE,,
NCR,NCR,Taguig City,2024,3,679550,TRUE,,
NCR,NCR,Taguig City,2024,4,614460,TRUE,,
NCR,NCR,Taguig City,2024,5,603662,TRUE,,
NCR,NCR,Taguig City,2024,6,653615,TRUE,,
NCR,NCR,Taguig City,2024,7,668415,TRUE,,
NCR,NCR,Taguig City,2024,8,612018,TRUE,,
