Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price_to_Income,Price,FamilyIncome_Total,Households_hh
makati,Makati,NCR,2028,195932.9628544233,FamilyIncome_Total,200984.703153924,974865.0508211472,82.11022303788234,80046386.75476089,195932.9628544233,200984.703153924
makati,Makati,NCR,2029,204735.84139208595,FamilyIncome_Total,201748.0966155327,1014809.283590154,79.88780063976564,81070881.73483363,204735.84139208595,201748.0966155327
malabon,Malabon,NCR,2018,31750.68,FamilyIncome_Total,,,,,31750.68,
malabon,Malabon,NCR,2021,31403.2,FamilyIncome_Total,94241.0,333222.2705616452,,,31403.2,94241.0
malabon,Malabon,NCR,2023,34270.92,FamilyIncome_Total,100095.71534381436,342381.4883812392,71.55760703020087,24500000.0,34270.92,100095.71534381436
malabon,Malabon,NCR,2024,34270.92,FamilyIncome_Total,100095.71534381436,342381.4883812392,69.686135407371,23859242.76031225,34270.92,100095.71534381436
malabon,Malabon,NCR,2025,35810.644310493386,FamilyIncome_Total,100475.90554450838,356410.2668836375,67.8422030618995,24179657.69926553,35810.644310493386,100475.90554450838
malabon,Malabon,NCR,2026,37419.54537353129,FamilyIncome_Total,100857.53980889884,371013.8621706664,66.03623180949508,24500357.406838182,37419.54537353129,100857.53980889884
malabon,Malabon,NCR,2027,39100.73116309385,FamilyIncome_Total,101240.6236219246,386215.82685140846,64.26816717014688,24821383.32384282,39100.73116309385,101240.6236219246
malabon,Malabon,NCR,2028,40857.44928825276,FamilyIncome_Total,101625.16248935754,402040.6785822504,62.53788899043497,25142775.32681592,40857.44928825276,101625.16248935754
malabon,Malabon,NCR,2029,42693.09326670077,FamilyIncome_Total,102011.16193788216,418513.9396088632,60.8452178457085,25464571.82696697,42693.09326670077,102011.16193788216
mandaluyong,Mandaluyong,NCR,2018,77146.17,FamilyIncome_Total,,,,,77146.17,
mandaluyong,Mandaluyong,NCR,2021,62352.7,FamilyIncome_Total,116954.0,533138.6699044069,,,62352.7,116954.0
mandaluyong,Mandaluyong,NCR,2023,93875.35,FamilyIncome_Total,124219.75883448248,755719.9505199885,37.71238271583275,28500000.0,93875.35,124219.75883448248
mandaluyong,Mandaluyong,NCR,2024,93875.35,FamilyIncome_Total,124219.75883448248,755719.9505199885,36.72607731783092,27754629.333424456,93875.35,124219.75883448248
mandaluyong,Mandaluyong,NCR,2025,98092.98286632152,FamilyIncome_Total,124691.57858100436,786684.9067324672,35.754285705442655,28127356.915472142,98092.98286632152,124691.57858100436
mandaluyong,Mandaluyong,NCR,2026,102500.10559334652,FamilyIncome_Total,125165.19042465543,818918.6246238933,34.802500397477814,28500415.75897503,102500.10559334652,125165.19042465543
mandaluyong,Mandaluyong,NCR,2027,107105.2315838426,FamilyIncome_Total,125640.60117229834,852473.0905813074,33.870692681810496,28873854.070592668,107105.2315838426,125640.60117229834
mandaluyong,Mandaluyong,NCR,2028,111917.25673083708,FamilyIncome_Total,126117.81765664964,887402.4210879308,32.958799235029794,29247718.23731648,111917.25673083708,126117.81765664964
mandaluyong,Mandaluyong,NCR,2029,116945.47660215072,FamilyIncome_Total,126596.84673637876,923762.9500020192,32.06672549652384,29622052.941573825,116945.47660215072,126596.84673637876
manila,Manila,NCR,2018,197174.25,FamilyIncome_Total,,,,,197174.25,
manila,Manila,NCR,2021,204369.69,FamilyIncome_Total,486293.0,420260.3985662965,,,204369.69,486293.0
manila,Manila,NCR,2023,246232.67,FamilyIncome_Total,516503.9176334028,476729.530200326,27.269130977762767,13000000.0,246232.67,516503.9176334028
manila,Manila,NCR,2024,246232.67,FamilyIncome_Total,516503.9176334028,476729.530200326,26.555951667803786,12660006.362614663,246232.67,516503.9176334028
manila,Manila,NCR,2025,257295.4143919421,FamilyIncome_Total,518465.73715214833,496263.10082750267,25.853267009531553,12830022.452671506,257295.4143919421,518465.73715214833
manila,Manila,NCR,2026,268855.18589844566,FamilyIncome_Total,520435.0081842175,516597.0422252598,25.165048542372556,13000189.644444749,268855.18589844566,520435.0081842175
manila,Manila,NCR,2027,280934.314959762,FamilyIncome_Total,522411.7590324443,537764.1488776569,24.491275505116175,13170529.926937006,280934.314959762,522411.7590324443
manila,Manila,NCR,2028,293556.1352784249,FamilyIncome_Total,524396.018107163,559798.5589937015,23.831902109767526,13341064.459126815,293556.1352784249,524396.018107163
manila,Manila,NCR,2029,306745.028893848,FamilyIncome_Total,526387.8139266194,582735.8095653208,23.186859981285714,13511813.622472271,306745.028893848,526387.8139266194
marikina,Marikina,NCR,2018,48538.67,FamilyIncome_Total,,,,,48538.67,
