Region,Province,City,Year,INC_income_per_hh,g_income_longrun,income_growth_source
Region IV-A (CALABARZON),Cavite,Cavite City,2026,524180.38744812465,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Cavite City,2027,539924.1371978843,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Cavite City,2028,556140.7502254742,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Cavite City,2029,572844.4289720583,0.03003498438086405,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,356221.3595,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Palayan City,2025,359583.60229436605,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Palayan City,2026,362977.5800656132,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Palayan City,2027,366403.5923485516,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Palayan City,2028,369861.941505191,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Palayan City,2029,373352.932751425,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,San Fernando City,2024,464657.6808,0.052943465768689135,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,San Fernando City,2025,489258.2688175932,0.052943465768689135,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,San Fernando City,2026,515161.29722478567,0.052943465768689135,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,San Fernando City,2027,542435.7217297595,0.052943465768689135,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,San Fernando City,2028,571154.1487948733,0.052943465768689135,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,San Fernando City,2029,601393.0289202394,0.052943465768689135,city_2018_2023p_CAGR
NCR,NCR,Muntinlupa City,2024,569840.67,0.01870688963871281,city_2018_2023p_CAGR
NCR,NCR,Muntinlupa City,2025,580500.6165253402,0.01870688963871281,city_2018_2023p_CAGR
NCR,NCR,Muntinlupa City,2026,591359.9774938844,0.01870688963871281,city_2018_2023p_CAGR
NCR,NCR,Muntinlupa City,2027,602422.4833296143,0.01870688963871281,city_2018_2023p_CAGR
NCR,NCR,Muntinlupa City,2028,613691.9342411407,0.01870688963871281,city_2018_2023p_CAGR
NCR,NCR,Muntinlupa City,2029,625172.2015271579,0.01870688963871281,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,356221.3595,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2025,359583.60229436605,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2026,362977.5800656132,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2027,366403.5923485516,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2028,369861.941505191,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2029,373352.932751425,0.009438633323631596,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Lipa City,2024,427118.3166,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Lipa City,2025,436550.6320942037,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Lipa City,2026,446191.2471909401,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Lipa City,2027,456044.7618979635,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Lipa City,2028,466115.8778078182,0.02208361273121695,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Batangas,Lipa City,2029,476409.40034119727,0.02208361273121695,city_2018_2023p_CAGR
