YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,Region,City/Province
2018,3,30,1.4,34.7,23.2,77,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,3,31,0.0,31.7,23.0,81,5,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,1,0.0,34.0,23.4,75,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,2,0.0,34.3,23.5,78,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,3,0.0,33.0,23.9,78,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,4,0.0,35.0,24.4,68,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,5,0.0,34.1,23.6,67,1,140,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,6,0.0,36.4,23.5,69,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,7,0.0,35.6,24.2,72,2,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,8,0.0,32.3,24.2,77,2,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,9,0.0,33.8,23.5,80,2,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,10,-1.0,36.0,23.5,75,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,11,0.0,37.5,23.9,71,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,12,0.0,36.7,24.4,67,2,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,13,0.0,37.1,24.0,63,2,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,14,0.0,36.3,23.5,75,2,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,15,0.0,28.3,24.4,70,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,16,0.0,36.7,24.7,74,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,17,0.0,35.7,24.0,72,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,18,0.0,37.2,24.3,79,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,19,0.0,37.0,24.9,70,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,20,0.0,37.2,24.0,61,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,21,0.0,37.8,25.5,71,1,340,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,22,0.0,35.8,24.2,70,1,160,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,23,0.0,37.6,24.4,69,2,90,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,24,0.0,37.7,24.2,71,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,25,0.0,36.7,24.8,70,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,26,0.0,36.6,24.6,74,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,27,0.0,38.1,24.5,57,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,28,0.0,37.0,25.6,58,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,29,0.0,37.2,25.5,63,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,4,30,0.0,31.1,24.7,55,1,40,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,1,-1.0,36.5,25.4,74,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,2,0.0,38.2,24.8,61,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,3,0.0,38.1,25.6,61,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,4,0.0,36.4,25.4,62,2,260,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,5,1.6,31.8,24.7,74,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,6,0.0,36.5,25.6,65,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,7,1.0,38.0,25.8,59,1,200,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,8,20.0,37.6,25.0,75,1,180,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,9,0.0,37.2,24.6,73,1,340,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,10,0.0,37.3,25.2,66,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
2018,5,11,0.0,38.0,25.1,68,1,360,Region III (Central Luzon),"Cabanatuan, Nueva Ecija"
