Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
NCR,NCR,City of Manila,2029,6,804057.8708059601,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,7,930352.6338061246,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,8,855212.7487051958,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,9,809890.6431264114,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,10,886485.1627787852,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,11,942449.2536067897,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,City of Manila,2029,12,907566.224941949,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,1,181146.40952688645,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,2,204605.2923831733,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,3,182817.63438011578,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,4,178451.486917269,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,5,178420.63393145768,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,6,187672.04515178184,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,7,181111.27415030557,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,8,189041.96163183515,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,9,196883.4457722036,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,10,190970.80330320384,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,11,189913.8676763727,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2025,12,193583.80236731324,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,1,180700.99377788158,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,2,204102.19425500595,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,3,182368.1093039004,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,4,178012.69763674235,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,5,177981.92051445943,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,6,187210.58370312888,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,7,180665.94479467784,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,8,188577.131734552,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,9,196399.33467282093,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,10,190501.2306320506,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,11,189446.89387414049,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2026,12,193107.8046671554,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,1,180256.6732489806,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,2,203600.33318050235,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,3,181919.68955209656,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,4,177574.98728268492,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,5,177544.2858373917,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,6,186750.25692889385,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,7,180221.7104467238,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,8,188113.44479426922,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,9,195916.4139404375,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,10,190032.81257976935,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,11,188981.06830049548,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2027,12,192632.97738419042,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,1,179813.44524717797,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,2,203099.70611790646,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,3,181472.3724068536,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,4,177138.3532021551,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,5,177107.72724777166,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,6,186291.06203905778,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,7,179778.56841396022,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,8,187650.898000602,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,9,195434.68064809378,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,10,189565.54630730028,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,11,188516.38813209106,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2028,12,192159.3176405125,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,1,179371.30708608992,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,2,202600.3100329412,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,3,181026.15515700358,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,4,176702.79274873427,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,5,176672.24209963845,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,6,185832.99625046304,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,7,179336.5160105244,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,8,187189.48855007702,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,9,194954.1318760273,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,10,189099.4289825655,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,11,188052.85055252296,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Las Pinas City,2029,12,191686.8225652932,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Makati City,2025,1,611429.7085971417,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Makati City,2025,2,588747.9052190052,False,time_series,"ETS(A,A,A)_log"
NCR,NCR,Makati City,2025,3,596671.6162980128,False,time_series,"ETS(A,A,A)_log"
