Region,Area_display,Area_slug,Date,RAINFALL_mm,TMAX_C,TMIN_C,TAVG,RH_pct,WIND_SPEED,WIND_DIRECTION,wet_day_1mm,heavy_rain_50mm
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-02,4.5,33.3,23.9,28.6,64.0,5.0,60.0,1,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-03,0.6,29.7,24.7,27.2,78.0,4.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-04,3.0,31.7,22.7,27.2,65.0,6.0,70.0,1,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-05,4.5,25.9,22.8,24.35,84.0,4.0,80.0,1,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-06,0.0,30.6,24.6,27.6,73.0,5.0,80.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-07,0.0,30.9,23.4,27.15,62.0,6.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-08,0.0,29.6,22.4,26.0,63.0,5.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-09,0.0,31.0,22.7,26.85,65.0,4.0,80.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-10,0.0,30.6,22.2,26.4,70.0,3.0,80.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-11,0.0,31.0,22.9,26.95,64.0,4.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-12,0.0,30.8,22.6,26.700000000000003,64.0,4.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-13,0.0,30.8,21.6,26.200000000000003,68.0,4.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-14,0.0,32.1,23.9,28.0,76.0,3.0,60.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-15,13.1,30.3,23.3,26.8,78.0,2.0,40.0,1,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-16,0.0,29.7,24.3,27.0,73.0,4.0,40.0,0,0
