Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
Malabon,Province,NCR,2021,1st Decile,1850.47,False
Malabon,Province,NCR,2021,2nd Decile,2159.84,False
Malabon,Province,NCR,2021,3rd Decile,2299.82,False
Malabon,Province,NCR,2021,4th Decile,2528.62,False
Malabon,Province,NCR,2021,5th Decile,2816.92,False
Malabon,Province,NCR,2021,6th Decile,3258.91,False
Malabon,Province,NCR,2021,7th Decile,3351.83,False
Malabon,Province,NCR,2021,8th Decile,3674.22,False
Malabon,Province,NCR,2021,9th Decile,3785.65,False
Malabon,Province,NCR,2021,All Income Groups,31403.2,False
Malabon,Province,NCR,2023,10th Decile,5668.04,False
Malabon,Province,NCR,2023,1st Decile,2104.7,False
Malabon,Province,NCR,2023,2nd Decile,2358.35,False
Malabon,Province,NCR,2023,3rd Decile,2660.35,False
Malabon,Province,NCR,2023,4th Decile,2895.43,False
Malabon,Province,NCR,2023,5th Decile,2970.05,False
Malabon,Province,NCR,2023,6th Decile,3583.68,False
Malabon,Province,NCR,2023,7th Decile,3716.05,False
Malabon,Province,NCR,2023,8th Decile,3632.12,False
Malabon,Province,NCR,2023,9th Decile,4682.16,False
Malabon,Province,NCR,2023,All Income Groups,34270.92,False
Navotas,Province,NCR,2018,10th Decile,4717.48,False
Navotas,Province,NCR,2018,1st Decile,1138.95,False
Navotas,Province,NCR,2018,2nd Decile,1314.04,False
Navotas,Province,NCR,2018,3rd Decile,1574.04,False
Navotas,Province,NCR,2018,4th Decile,1731.19,False
Navotas,Province,NCR,2018,5th Decile,1923.65,False
Navotas,Province,NCR,2018,6th Decile,2097.62,False
Navotas,Province,NCR,2018,7th Decile,2416.39,False
Navotas,Province,NCR,2018,8th Decile,2393.69,False
Navotas,Province,NCR,2018,9th Decile,2598.63,False
Navotas,Province,NCR,2018,All Income Groups,21905.68,False
Navotas,Province,NCR,2021,10th Decile,3365.07,False
Navotas,Province,NCR,2021,1st Decile,1336.5,False
Navotas,Province,NCR,2021,2nd Decile,1532.7,False
Navotas,Province,NCR,2021,3rd Decile,1649.29,False
Navotas,Province,NCR,2021,4th Decile,1774.5,False
Navotas,Province,NCR,2021,5th Decile,1806.73,False
Navotas,Province,NCR,2021,6th Decile,2075.61,False
Navotas,Province,NCR,2021,7th Decile,2167.24,False
Navotas,Province,NCR,2021,8th Decile,2309.39,False
Navotas,Province,NCR,2021,9th Decile,2493.03,False
Navotas,Province,NCR,2021,All Income Groups,20510.06,False
Navotas,Province,NCR,2023,10th Decile,3087.7,False
Navotas,Province,NCR,2023,1st Decile,1456.07,False
Navotas,Province,NCR,2023,2nd Decile,1594.94,False
Navotas,Province,NCR,2023,3rd Decile,1902.55,False
Navotas,Province,NCR,2023,4th Decile,1825.99,False
Navotas,Province,NCR,2023,5th Decile,1963.39,False
Navotas,Province,NCR,2023,6th Decile,2140.99,False
Navotas,Province,NCR,2023,7th Decile,2217.79,False
Navotas,Province,NCR,2023,8th Decile,2340.4,False
Navotas,Province,NCR,2023,9th Decile,2761.59,False
Navotas,Province,NCR,2023,All Income Groups,21291.41,False
Valenzuela,Province,NCR,2018,10th Decile,11164.38,False
Valenzuela,Province,NCR,2018,1st Decile,3463.15,False
Valenzuela,Province,NCR,2018,2nd Decile,4296.1,False
Valenzuela,Province,NCR,2018,3rd Decile,4310.59,False
Valenzuela,Province,NCR,2018,4th Decile,5109.59,False
Valenzuela,Province,NCR,2018,5th Decile,5256.32,False
Valenzuela,Province,NCR,2018,6th Decile,6258.84,False
Valenzuela,Province,NCR,2018,7th Decile,6012.56,False
Valenzuela,Province,NCR,2018,8th Decile,6724.42,False
Valenzuela,Province,NCR,2018,9th Decile,7517.83,False
Valenzuela,Province,NCR,2018,All Income Groups,60113.79,False
Valenzuela,Province,NCR,2021,10th Decile,10631.65,False
Valenzuela,Province,NCR,2021,1st Decile,3450.18,False
Valenzuela,Province,NCR,2021,2nd Decile,4106.42,False
Valenzuela,Province,NCR,2021,3rd Decile,4563.09,False
Valenzuela,Province,NCR,2021,4th Decile,5289.66,False
Valenzuela,Province,NCR,2021,5th Decile,5260.84,False
Valenzuela,Province,NCR,2021,6th Decile,5728.56,False
Valenzuela,Province,NCR,2021,7th Decile,6971.48,False
Valenzuela,Province,NCR,2021,8th Decile,7374.7,False
Valenzuela,Province,NCR,2021,9th Decile,9328.28,False
Valenzuela,Province,NCR,2021,All Income Groups,62704.85,False
Valenzuela,Province,NCR,2023,10th Decile,11374.83,False
Valenzuela,Province,NCR,2023,1st Decile,4429.33,False
Valenzuela,Province,NCR,2023,2nd Decile,4856.89,False
Valenzuela,Province,NCR,2023,3rd Decile,5187.11,False
Valenzuela,Province,NCR,2023,4th Decile,5997.13,False
Valenzuela,Province,NCR,2023,5th Decile,6898.67,False
Valenzuela,Province,NCR,2023,6th Decile,7275.01,False
Valenzuela,Province,NCR,2023,7th Decile,7464.16,False
Valenzuela,Province,NCR,2023,8th Decile,8269.32,False
Valenzuela,Province,NCR,2023,9th Decile,8139.7,False
Valenzuela,Province,NCR,2023,All Income Groups,69892.16,False
Las Piñas,Province,NCR,2018,10th Decile,15304.76,False
Las Piñas,Province,NCR,2018,1st Decile,3428.67,False
Las Piñas,Province,NCR,2018,2nd Decile,4412.58,False
Las Piñas,Province,NCR,2018,3rd Decile,5303.65,False
Las Piñas,Province,NCR,2018,4th Decile,5771.18,False
Las Piñas,Province,NCR,2018,5th Decile,6461.74,False
Las Piñas,Province,NCR,2018,6th Decile,7059.95,False
Las Piñas,Province,NCR,2018,7th Decile,8437.25,False
Las Piñas,Province,NCR,2018,8th Decile,8712.04,False
Las Piñas,Province,NCR,2018,9th Decile,12413.93,False
Las Piñas,Province,NCR,2018,All Income Groups,77305.75,False
Las Piñas,Province,NCR,2021,10th Decile,13111.64,False
Las Piñas,Province,NCR,2021,1st Decile,3336.31,False
Las Piñas,Province,NCR,2021,2nd Decile,3976.73,False
Las Piñas,Province,NCR,2021,3rd Decile,4622.11,False
Las Piñas,Province,NCR,2021,4th Decile,5025.24,False
Las Piñas,Province,NCR,2021,5th Decile,5623.53,False
Las Piñas,Province,NCR,2021,6th Decile,6565.61,False
Las Piñas,Province,NCR,2021,7th Decile,6798.1,False
Las Piñas,Province,NCR,2021,8th Decile,7748.51,False
Las Piñas,Province,NCR,2021,9th Decile,8774.5,False
Las Piñas,Province,NCR,2021,All Income Groups,65582.27,False
Las Piñas,Province,NCR,2023,10th Decile,17973.95,False
Las Piñas,Province,NCR,2023,1st Decile,4905.24,False
Las Piñas,Province,NCR,2023,2nd Decile,5972.29,False
Las Piñas,Province,NCR,2023,3rd Decile,6668.52,False
Las Piñas,Province,NCR,2023,4th Decile,7403.72,False
Las Piñas,Province,NCR,2023,5th Decile,9040.78,False
Las Piñas,Province,NCR,2023,6th Decile,9110.02,False
Las Piñas,Province,NCR,2023,7th Decile,9793.41,False
Las Piñas,Province,NCR,2023,8th Decile,11876.12,False
Las Piñas,Province,NCR,2023,9th Decile,14072.9,False
Las Piñas,Province,NCR,2023,All Income Groups,96816.95,False
