Region,Province,Area_display,Year,n_records,employed_rate_unweighted,employed_rate_weighted,sum_weight
Region III (Central Luzon),Nueva Ecija,Palayan,2023,1.0,1.0,1.0,7665.1423
Region III (Central Luzon),Nueva Ecija,Pantabangan,2023,1.0,1.0,1.0,654.5579
Region III (Central Luzon),Nueva Ecija,Santa Rosa,2023,1.0,1.0,1.0,10995.2793
Region III (Central Luzon),Nueva Ecija,Science City Of Munoz,2023,31.0,1.0,1.0,231492.20419999995
Region III (Central Luzon),Nueva Ecija,Zaragoza,2023,26.0,1.0,1.0,191298.633
Region III (Central Luzon),Pampanga,Angeles,2023,198.0,1.0,1.0,352958.43240000005
Region III (Central Luzon),Pampanga,Arayat,2023,1.0,1.0,1.0,3588.2745
Region III (Central Luzon),Pampanga,Bacolor,2023,2.0,1.0,1.0,6420.7756
Region III (Central Luzon),Pampanga,Candaba,2023,1.0,1.0,1.0,5635.9079
Region III (Central Luzon),Pampanga,Floridablanca,2023,76.0,1.0,1.0,446465.2126
Region III (Central Luzon),Pampanga,Guagua,2023,1.0,1.0,1.0,5635.9079
Region III (Central Luzon),Pampanga,Mabalacat City,2023,35.0,1.0,1.0,101760.3805
Region III (Central Luzon),Pampanga,Macabebe,2023,1.0,1.0,1.0,7158.0845
Region III (Central Luzon),Pampanga,Magalang,2023,23.0,1.0,1.0,129262.4959
Region III (Central Luzon),Pampanga,Mexico,2023,23.0,1.0,1.0,133629.1222
Region III (Central Luzon),Pampanga,Porac,2023,2.0,1.0,1.0,9492.1014
Region III (Central Luzon),Pampanga,San Fernando,2023,61.0,1.0,1.0,348018.6024
Region III (Central Luzon),Pangasinan,Bolinao,2023,2.0,1.0,1.0,3128.8028
Region III (Central Luzon),Rizal,Antipolo,2023,1.0,1.0,1.0,710.912
Region III (Central Luzon),Tarlac,Bamban,2023,40.0,1.0,1.0,150249.1472
Region III (Central Luzon),Tarlac,Capas,2023,1.0,1.0,1.0,4843.7701
Region III (Central Luzon),Tarlac,Concepcion,2023,24.0,1.0,1.0,84164.89869999999
Region III (Central Luzon),Tarlac,Gerona,2023,2.0,1.0,1.0,10511.2914
Region III (Central Luzon),Tarlac,La Paz,2023,1.0,1.0,1.0,4843.7701
Region III (Central Luzon),Tarlac,Paniqui,2023,18.0,0.9444444444444444,0.9517308104146354,58763.209500000004
Region III (Central Luzon),Tarlac,Pura,2023,12.0,1.0,1.0,39575.1527
Region III (Central Luzon),Tarlac,San Clemente,2023,1.0,1.0,1.0,7393.3602
Region III (Central Luzon),Tarlac,Tarlac,2023,11.0,1.0,1.0,47079.594
Region III (Central Luzon),Tarlac,Victoria,2023,36.0,1.0,1.0,126488.04479999997
Region III (Central Luzon),Zambales,Candelaria,2023,15.0,1.0,1.0,27799.3312
Region III (Central Luzon),Zambales,Iba,2023,24.0,1.0,1.0,49982.342300000004
Region III (Central Luzon),Zambales,Olongapo,2023,197.0,0.9898477157360406,0.9926428739418601,129194.74160000001
