Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
NCR,NCR,Quezon City,2024,12,1939831.1332367773,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,San Juan City,2024,1,59779.0206982634,True,,
NCR,NCR,San Juan City,2024,2,68272.76997469089,True,,
NCR,NCR,San Juan City,2024,3,48209.40826595963,True,,
NCR,NCR,San Juan City,2024,4,62970.70339272514,True,,
NCR,NCR,San Juan City,2024,5,84390.67264767467,True,,
NCR,NCR,San Juan City,2024,6,39023.58977945997,True,,
NCR,NCR,San Juan City,2024,7,48345.163954629475,True,,
NCR,NCR,San Juan City,2024,8,97883.64889288132,True,,
NCR,NCR,San Juan City,2024,9,70319.15665550713,False,time_series,seasonal_index
NCR,NCR,San Juan City,2024,10,62855.82404715607,False,time_series,seasonal_index
NCR,NCR,San Juan City,2024,11,70604.21725316801,False,time_series,seasonal_index
NCR,NCR,San Juan City,2024,12,91390.82443788432,False,time_series,seasonal_index
NCR,NCR,Taguig City,2024,1,631789.0285751608,True,,
NCR,NCR,Taguig City,2024,2,683478.5143890784,True,,
NCR,NCR,Taguig City,2024,3,679550.2394239329,True,,
NCR,NCR,Taguig City,2024,4,614460.1402644867,True,,
NCR,NCR,Taguig City,2024,5,603662.3042944112,True,,
NCR,NCR,Taguig City,2024,6,653614.9651300018,True,,
NCR,NCR,Taguig City,2024,7,668414.8788263414,True,,
NCR,NCR,Taguig City,2024,8,612017.7608898646,True,,
NCR,NCR,Taguig City,2024,9,642855.7081595404,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Taguig City,2024,10,715030.398597616,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Taguig City,2024,11,661297.1828523068,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Taguig City,2024,12,679553.3785972578,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Valenzuela City,2024,1,267074.57777728006,True,,
NCR,NCR,Valenzuela City,2024,2,285212.7205681448,True,,
NCR,NCR,Valenzuela City,2024,3,263108.1479596135,True,,
NCR,NCR,Valenzuela City,2024,4,250456.62150727396,True,,
NCR,NCR,Valenzuela City,2024,5,256886.97120920045,True,,
NCR,NCR,Valenzuela City,2024,6,271759.85548465507,True,,
NCR,NCR,Valenzuela City,2024,7,264075.4501062838,True,,
NCR,NCR,Valenzuela City,2024,8,319920.7000298412,True,,
NCR,NCR,Valenzuela City,2024,9,348138.0568483715,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Valenzuela City,2024,10,252768.4683492418,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Valenzuela City,2024,11,299884.94298792566,False,time_series,"ETS(A,?,A)_log"
NCR,NCR,Valenzuela City,2024,12,248242.98717216816,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bataan,Balanga City,2024,1,54186.676250421704,True,,
Region III (Central Luzon),Bataan,Balanga City,2024,2,21340.87978442889,True,,
Region III (Central Luzon),Bataan,Balanga City,2024,3,182112.3521035577,True,,
Region III (Central Luzon),Bataan,Balanga City,2024,4,78074.32872134652,True,,
Region III (Central Luzon),Bataan,Balanga City,2024,5,9693.317497847951,True,,
Region III (Central Luzon),Bataan,Balanga City,2024,6,106830.58541889024,True,,
Region III (Central Luzon),Bataan,Balanga City,2024,7,49029.48899211455,True,,
Region III (Central Luzon),Bataan,Balanga City,2024,8,48883.55156544331,True,,
Region III (Central Luzon),Bataan,Balanga City,2024,9,41689.62570337377,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bataan,Balanga City,2024,10,37903.63667466569,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bataan,Balanga City,2024,11,53713.06197792908,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bataan,Balanga City,2024,12,68612.49530998048,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Malolos City,2024,1,67397.59733654384,True,,
Region III (Central Luzon),Bulacan,Malolos City,2024,2,1529.1414301553677,True,,
Region III (Central Luzon),Bulacan,Malolos City,2024,3,47556.64287905494,True,,
Region III (Central Luzon),Bulacan,Malolos City,2024,4,115066.17061307638,True,,
