Area,Area_Level,Region,IncomeGroup,Value_2018,Value_2021,Value_2023,pct_change_2018_2021,pct_change_2021_2023
Malabon,Province,NCR,4th Decile,2682.49,2528.62,2895.43,-5.736088485,14.50633152
Malabon,Province,NCR,5th Decile,2647.08,2816.92,2970.05,6.416126449,5.436079122
Malabon,Province,NCR,6th Decile,2968.51,3258.91,3583.68,9.78268559,9.965601996
Malabon,Province,NCR,7th Decile,3298.03,3351.83,3716.05,1.631276853,10.86630289
Malabon,Province,NCR,8th Decile,3918.36,3674.22,3632.12,-6.230667933,-1.145821426
Malabon,Province,NCR,9th Decile,4178.4,3785.65,4682.16,-9.399530921,23.68179837
Malabon,Province,NCR,All Income Groups,31750.68,31403.2,34270.92,-1.094401758,9.131935599
Mandaluyong,Province,NCR,10th Decile,27465.28,11970.43,21743.44,-56.41613703,81.64293179
Mandaluyong,Province,NCR,1st Decile,2706.97,3956.37,4743.61,46.15492599,19.89803785
Mandaluyong,Province,NCR,2nd Decile,3517.13,4231.84,5620.73,20.32082977,32.82000265
Mandaluyong,Province,NCR,3rd Decile,3899.12,4447.2,6660.45,14.05650506,49.76726929
Mandaluyong,Province,NCR,4th Decile,4683.56,5169.04,6622.14,10.36561932,28.11160293
Mandaluyong,Province,NCR,5th Decile,4765.88,5413.22,7441.95,13.58280108,37.47732403
Mandaluyong,Province,NCR,6th Decile,5746.47,5908.25,8095.61,2.815293563,37.02213007
Mandaluyong,Province,NCR,7th Decile,6346.94,6108.5,9119.63,-3.756770979,49.29409839
Mandaluyong,Province,NCR,8th Decile,7644.74,7377.02,11302.84,-3.502015765,53.21688161
Mandaluyong,Province,NCR,9th Decile,10370.08,7770.84,12524.95,-25.06480181,61.17884296
Mandaluyong,Province,NCR,All Income Groups,77146.17,62352.7,93875.35,-19.17589687,50.55538894
Manila,Province,NCR,10th Decile,40344.05,36244.13,47901.45,-10.16239074,32.16333238
Manila,Province,NCR,1st Decile,9229.0,12756.53,12026.79,38.22223426,-5.720521176
Manila,Province,NCR,2nd Decile,12068.34,14367.17,16715.58,19.04843582,16.34566863
Manila,Province,NCR,3rd Decile,14075.71,15252.71,18672.51,8.361922773,22.42093372
Manila,Province,NCR,4th Decile,16395.65,17313.18,20079.84,5.596179474,15.98007992
Manila,Province,NCR,5th Decile,16359.63,18312.17,20757.54,11.935111,13.35379696
Manila,Province,NCR,6th Decile,18953.61,18747.08,22831.85,-1.089660492,21.78883325
Manila,Province,NCR,7th Decile,21199.05,21382.04,25612.84,0.863199058,19.78669949
Manila,Province,NCR,8th Decile,22872.7,23313.65,30157.34,1.927844111,29.35486292
Manila,Province,NCR,9th Decile,25676.51,26681.02,31476.92,3.91217498,17.97494998
Manila,Province,NCR,All Income Groups,197174.25,204369.69,246232.67,3.649279761,20.4839475
Marikina,Province,NCR,10th Decile,11331.59,11660.71,13378.77,2.904446772,14.7337512
Marikina,Province,NCR,1st Decile,2172.53,2408.44,3086.86,10.85876835,28.16844098
Marikina,Province,NCR,2nd Decile,2525.15,2985.1,3654.14,18.21475952,22.41264949
Marikina,Province,NCR,3rd Decile,3024.7,3725.41,3832.83,23.16626442,2.883441017
Marikina,Province,NCR,4th Decile,3523.89,4062.73,4551.19,15.29105619,12.02295009
Marikina,Province,NCR,5th Decile,3958.4,3960.24,5102.32,0.046483428,28.83865624
Marikina,Province,NCR,6th Decile,4241.79,4452.57,5477.41,4.969128599,23.0168195
Marikina,Province,NCR,7th Decile,4941.79,5140.25,6405.09,4.015953733,24.60658528
Marikina,Province,NCR,8th Decile,5974.21,6136.91,6708.86,2.72337263,9.319836856
Marikina,Province,NCR,9th Decile,6844.62,6930.35,8202.01,1.252516575,18.34914543
Marikina,Province,NCR,All Income Groups,48538.67,51462.72,60399.48,6.024165887,17.36550264
Muntinlupa,Province,NCR,10th Decile,16774.77,10939.21,14718.31,-34.78771989,34.54637035
Muntinlupa,Province,NCR,1st Decile,3094.77,3222.96,5055.53,4.142149497,56.85984313
Muntinlupa,Province,NCR,2nd Decile,3721.81,3875.35,5737.72,4.125412098,48.05682067
Muntinlupa,Province,NCR,3rd Decile,4188.18,4363.52,6193.05,4.186544036,41.92784724
Muntinlupa,Province,NCR,4th Decile,4411.52,4461.54,6818.25,1.133849558,52.82279213
Muntinlupa,Province,NCR,5th Decile,5038.91,5302.92,6806.8,5.239426781,28.35946988
Muntinlupa,Province,NCR,6th Decile,5278.37,5836.26,8057.82,10.56936137,38.06478807
Muntinlupa,Province,NCR,7th Decile,6383.3,6395.2,8179.7,0.18642395,27.90374031
Muntinlupa,Province,NCR,8th Decile,6691.37,7899.76,8543.02,18.05893263,8.142779021
Muntinlupa,Province,NCR,9th Decile,8691.8,8094.04,10218.37,-6.877286638,26.24560788
Muntinlupa,Province,NCR,All Income Groups,64274.79,60390.76,80328.59,-6.042851326,33.01470291
National Capital Region,Region,NCR,10th Decile,355545.54,315898.85,427620.84,-11.15094567,35.36638073
National Capital Region,Region,NCR,1st Decile,70127.21,77163.78,94452.9,10.0340082,22.40574529
National Capital Region,Region,NCR,2nd Decile,87785.99,91809.85,117464.79,4.583715465,27.94355943
National Capital Region,Region,NCR,3rd Decile,101204.78,103516.9,127934.6,2.284595649,23.58812909
National Capital Region,Region,NCR,4th Decile,111696.33,113145.22,141971.78,1.297168851,25.47748813
National Capital Region,Region,NCR,5th Decile,124357.3,125436.46,154774.39,0.867789828,23.38867822
National Capital Region,Region,NCR,6th Decile,136331.78,134488.1,170358.4,-1.352347927,26.67172783
National Capital Region,Region,NCR,7th Decile,156437.84,148349.74,188200.04,-5.170168547,26.86239962
National Capital Region,Region,NCR,8th Decile,173262.16,169983.54,208683.05,-1.892288541,22.76662199
National Capital Region,Region,NCR,9th Decile,211020.73,187836.03,234340.51,-10.98693005,24.758019
National Capital Region,Region,NCR,All Income Groups,1527769.65,1467628.46,1865801.3,-3.936535197,27.13035696
Navotas,Province,NCR,10th Decile,4717.48,3365.07,3087.7,-28.66806007,-8.242621996
Navotas,Province,NCR,1st Decile,1138.95,1336.5,1456.07,17.34492296,8.946502058
Navotas,Province,NCR,2nd Decile,1314.04,1532.7,1594.94,16.64028492,4.060807725
Navotas,Province,NCR,3rd Decile,1574.04,1649.29,1902.55,4.780691723,15.35569851
Navotas,Province,NCR,4th Decile,1731.19,1774.5,1825.99,2.501747353,2.90166244
Navotas,Province,NCR,5th Decile,1923.65,1806.73,1963.39,-6.078028747,8.67091375
Navotas,Province,NCR,6th Decile,2097.62,2075.61,2140.99,-1.049284427,3.149917374
Navotas,Province,NCR,7th Decile,2416.39,2167.24,2217.79,-10.31083559,2.332459718
Navotas,Province,NCR,8th Decile,2393.69,2309.39,2340.4,-3.521759292,1.342778829
Navotas,Province,NCR,9th Decile,2598.63,2493.03,2761.59,-4.063679708,10.77243354
