Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
San Juan,Province,NCR,2023,6th Decile,2020.34,TRUE
San Juan,Province,NCR,2023,7th Decile,2265.23,TRUE
San Juan,Province,NCR,2023,8th Decile,1851.47,TRUE
San Juan,Province,NCR,2023,9th Decile,4226.9,TRUE
San Juan,Province,NCR,2023,All Income Groups,24320.15,TRUE
Quezon City,HUC/City,NCR,2018,10th Decile,77346.23,FALSE
Quezon City,HUC/City,NCR,2018,1st Decile,16200.91,FALSE
Quezon City,HUC/City,NCR,2018,2nd Decile,19913.52,FALSE
Quezon City,HUC/City,NCR,2018,3rd Decile,20545.99,FALSE
Quezon City,HUC/City,NCR,2018,4th Decile,23706.56,FALSE
Quezon City,HUC/City,NCR,2018,5th Decile,26909.54,FALSE
Quezon City,HUC/City,NCR,2018,6th Decile,30034.67,FALSE
Quezon City,HUC/City,NCR,2018,7th Decile,35953.16,FALSE
Quezon City,HUC/City,NCR,2018,8th Decile,39623.6,FALSE
Quezon City,HUC/City,NCR,2018,9th Decile,50215.87,FALSE
Quezon City,HUC/City,NCR,2018,All Income Groups,340450.04,FALSE
Quezon City,HUC/City,NCR,2021,10th Decile,72498.44,FALSE
Quezon City,HUC/City,NCR,2021,1st Decile,17265.27,FALSE
Quezon City,HUC/City,NCR,2021,2nd Decile,19203.69,FALSE
Quezon City,HUC/City,NCR,2021,3rd Decile,22399.5,FALSE
Quezon City,HUC/City,NCR,2021,4th Decile,23882.82,FALSE
Quezon City,HUC/City,NCR,2021,5th Decile,27449.09,FALSE
Quezon City,HUC/City,NCR,2021,6th Decile,27241.02,FALSE
Quezon City,HUC/City,NCR,2021,7th Decile,31191.57,FALSE
Quezon City,HUC/City,NCR,2021,8th Decile,35536.29,FALSE
Quezon City,HUC/City,NCR,2021,9th Decile,39199.81,FALSE
Quezon City,HUC/City,NCR,2021,All Income Groups,315867.49,FALSE
Quezon City,HUC/City,NCR,2023,10th Decile,74062.25,TRUE
Quezon City,HUC/City,NCR,2023,1st Decile,20501.01,TRUE
Quezon City,HUC/City,NCR,2023,2nd Decile,25201.84,TRUE
Quezon City,HUC/City,NCR,2023,3rd Decile,24932.28,TRUE
Quezon City,HUC/City,NCR,2023,4th Decile,29128.12,TRUE
Quezon City,HUC/City,NCR,2023,5th Decile,30704.25,TRUE
Quezon City,HUC/City,NCR,2023,6th Decile,31496.79,TRUE
Quezon City,HUC/City,NCR,2023,7th Decile,36983.61,TRUE
Quezon City,HUC/City,NCR,2023,8th Decile,41553.4,TRUE
Quezon City,HUC/City,NCR,2023,9th Decile,44645.26,TRUE
Quezon City,HUC/City,NCR,2023,All Income Groups,359208.8,TRUE
Marikina,Province,NCR,2018,10th Decile,11331.59,FALSE
Marikina,Province,NCR,2018,1st Decile,2172.53,FALSE
Marikina,Province,NCR,2018,2nd Decile,2525.15,FALSE
Marikina,Province,NCR,2018,3rd Decile,3024.7,FALSE
Marikina,Province,NCR,2018,4th Decile,3523.89,FALSE
