Area,Year,IncomeGroup,Value
Capiz,2018,1st Decile,2651.39
Capiz,2018,2nd Decile,2882.34
Capiz,2018,3rd Decile,3125.13
Capiz,2018,4th Decile,3307.13
Capiz,2018,5th Decile,3518.51
Capiz,2018,6th Decile,3655.66
Capiz,2018,7th Decile,4017.89
Capiz,2018,8th Decile,4336.97
Capiz,2018,9th Decile,5501.76
Capiz,2018,All Income Groups,44951.8
Capiz,2021,10th Decile,12998.35
Capiz,2021,1st Decile,3057.58
Capiz,2021,2nd Decile,3648.9
Capiz,2021,3rd Decile,3529.6
Capiz,2021,4th Decile,3906.5
Capiz,2021,5th Decile,3992.22
Capiz,2021,6th Decile,4252.9
Capiz,2021,7th Decile,4646.84
Capiz,2021,8th Decile,5014.73
Capiz,2021,9th Decile,6194.56
Capiz,2021,All Income Groups,51242.18
Capiz,2023,10th Decile,13709.0
Capiz,2023,1st Decile,3137.28
Capiz,2023,2nd Decile,3744.59
Capiz,2023,3rd Decile,4254.27
Capiz,2023,4th Decile,4759.71
Capiz,2023,5th Decile,4503.67
Capiz,2023,6th Decile,5150.22
Capiz,2023,7th Decile,5226.59
Capiz,2023,8th Decile,6316.73
Capiz,2023,9th Decile,7358.11
Capiz,2023,All Income Groups,58160.17
Iloilo (Excluding City of Iloilo),2018,10th Decile,40951.91
Iloilo (Excluding City of Iloilo),2018,1st Decile,5895.71
Iloilo (Excluding City of Iloilo),2018,2nd Decile,6770.88
Iloilo (Excluding City of Iloilo),2018,3rd Decile,7124.43
Iloilo (Excluding City of Iloilo),2018,4th Decile,8132.89
Iloilo (Excluding City of Iloilo),2018,5th Decile,8495.48
Iloilo (Excluding City of Iloilo),2018,6th Decile,9531.34
Iloilo (Excluding City of Iloilo),2018,7th Decile,11367.09
Iloilo (Excluding City of Iloilo),2018,8th Decile,14801.35
Iloilo (Excluding City of Iloilo),2018,9th Decile,21423.98
Iloilo (Excluding City of Iloilo),2018,All Income Groups,134495.07
Iloilo (Excluding City of Iloilo),2021,10th Decile,46500.39
Iloilo (Excluding City of Iloilo),2021,1st Decile,5716.81
Iloilo (Excluding City of Iloilo),2021,2nd Decile,7312.75
Iloilo (Excluding City of Iloilo),2021,3rd Decile,7655.97
Iloilo (Excluding City of Iloilo),2021,4th Decile,7740.0
Iloilo (Excluding City of Iloilo),2021,5th Decile,8778.11
Iloilo (Excluding City of Iloilo),2021,6th Decile,11245.46
Iloilo (Excluding City of Iloilo),2021,7th Decile,12918.66
Iloilo (Excluding City of Iloilo),2021,8th Decile,16941.14
Iloilo (Excluding City of Iloilo),2021,9th Decile,25416.23
Iloilo (Excluding City of Iloilo),2021,All Income Groups,150225.52
Iloilo (Excluding City of Iloilo),2023,10th Decile,47884.47
Iloilo (Excluding City of Iloilo),2023,1st Decile,7766.69
Iloilo (Excluding City of Iloilo),2023,2nd Decile,8808.02
Iloilo (Excluding City of Iloilo),2023,3rd Decile,9971.79
Iloilo (Excluding City of Iloilo),2023,4th Decile,11182.56
Iloilo (Excluding City of Iloilo),2023,5th Decile,12488.69
Iloilo (Excluding City of Iloilo),2023,6th Decile,13690.74
Iloilo (Excluding City of Iloilo),2023,7th Decile,15025.71
Iloilo (Excluding City of Iloilo),2023,8th Decile,17735.13
Iloilo (Excluding City of Iloilo),2023,9th Decile,24106.35
Iloilo (Excluding City of Iloilo),2023,All Income Groups,168660.15
City of Iloilo,2018,10th Decile,13413.65
City of Iloilo,2018,1st Decile,1903.43
City of Iloilo,2018,2nd Decile,2114.28
City of Iloilo,2018,3rd Decile,2538.44
City of Iloilo,2018,4th Decile,2736.65
City of Iloilo,2018,5th Decile,2962.8
City of Iloilo,2018,6th Decile,3688.06
City of Iloilo,2018,7th Decile,3991.55
City of Iloilo,2018,8th Decile,4727.84
City of Iloilo,2018,9th Decile,6419.5
City of Iloilo,2018,All Income Groups,44496.21
City of Iloilo,2021,10th Decile,14203.25
City of Iloilo,2021,1st Decile,1699.84
City of Iloilo,2021,2nd Decile,2105.6
City of Iloilo,2021,3rd Decile,2682.14
City of Iloilo,2021,4th Decile,2781.05
City of Iloilo,2021,5th Decile,3062.63
City of Iloilo,2021,6th Decile,3295.54
City of Iloilo,2021,7th Decile,4143.92
City of Iloilo,2021,8th Decile,4934.66
City of Iloilo,2021,9th Decile,5883.19
City of Iloilo,2021,All Income Groups,44791.84
City of Iloilo,2023,10th Decile,11922.01
City of Iloilo,2023,1st Decile,2222.99
City of Iloilo,2023,2nd Decile,2624.34
City of Iloilo,2023,3rd Decile,3138.1
City of Iloilo,2023,4th Decile,3759.56
City of Iloilo,2023,5th Decile,3965.44
City of Iloilo,2023,6th Decile,3765.15
City of Iloilo,2023,7th Decile,4777.84
City of Iloilo,2023,8th Decile,5099.52
City of Iloilo,2023,9th Decile,6946.12
City of Iloilo,2023,All Income Groups,48221.07
Guimaras,2018,10th Decile,3422.11
Guimaras,2018,1st Decile,573.54
Guimaras,2018,2nd Decile,755.54
Guimaras,2018,3rd Decile,730.83
Guimaras,2018,4th Decile,796.32
Guimaras,2018,5th Decile,856.35
Guimaras,2018,6th Decile,896.22
Guimaras,2018,7th Decile,931.43
Guimaras,2018,8th Decile,1067.26
Guimaras,2018,9th Decile,1365.82
Guimaras,2018,All Income Groups,11395.42
Guimaras,2021,10th Decile,3343.26
Guimaras,2021,1st Decile,596.38
Guimaras,2021,2nd Decile,747.77
Guimaras,2021,3rd Decile,727.75
Guimaras,2021,4th Decile,792.3
Guimaras,2021,5th Decile,823.33
Guimaras,2021,6th Decile,795.26
Guimaras,2021,7th Decile,1059.17
Guimaras,2021,8th Decile,1136.8
Guimaras,2021,9th Decile,1340.16
Guimaras,2021,All Income Groups,11362.19
Guimaras,2023,10th Decile,2923.41
Guimaras,2023,1st Decile,887.04
Guimaras,2023,2nd Decile,985.36
Guimaras,2023,3rd Decile,1028.39
Guimaras,2023,4th Decile,1086.87
Guimaras,2023,5th Decile,1045.64
Guimaras,2023,6th Decile,1082.94
Guimaras,2023,7th Decile,1240.1
Guimaras,2023,8th Decile,1267.97
Guimaras,2023,9th Decile,1878.86
Guimaras,2023,All Income Groups,13426.57
NEGROS ISLAND REGION,2018,10th Decile,83458.56
NEGROS ISLAND REGION,2018,1st Decile,10737.01
NEGROS ISLAND REGION,2018,2nd Decile,13188.11
NEGROS ISLAND REGION,2018,3rd Decile,15551.35
NEGROS ISLAND REGION,2018,4th Decile,16673.63
NEGROS ISLAND REGION,2018,5th Decile,18460.52
NEGROS ISLAND REGION,2018,6th Decile,20429.98
NEGROS ISLAND REGION,2018,7th Decile,24421.83
NEGROS ISLAND REGION,2018,8th Decile,29198.45
NEGROS ISLAND REGION,2018,9th Decile,39429.71
NEGROS ISLAND REGION,2018,All Income Groups,271549.16
NEGROS ISLAND REGION,2021,10th Decile,75537.57
NEGROS ISLAND REGION,2021,1st Decile,11276.16
NEGROS ISLAND REGION,2021,2nd Decile,14590.21
NEGROS ISLAND REGION,2021,3rd Decile,16766.81
NEGROS ISLAND REGION,2021,4th Decile,17990.21
NEGROS ISLAND REGION,2021,5th Decile,19518.0
NEGROS ISLAND REGION,2021,6th Decile,22072.03
NEGROS ISLAND REGION,2021,7th Decile,24805.46
NEGROS ISLAND REGION,2021,8th Decile,27346.8
NEGROS ISLAND REGION,2021,9th Decile,42169.88
NEGROS ISLAND REGION,2021,All Income Groups,272073.12
NEGROS ISLAND REGION,2023,10th Decile,83707.22
NEGROS ISLAND REGION,2023,1st Decile,13188.15
NEGROS ISLAND REGION,2023,2nd Decile,16173.89
NEGROS ISLAND REGION,2023,3rd Decile,19531.51
NEGROS ISLAND REGION,2023,4th Decile,21383.94
NEGROS ISLAND REGION,2023,5th Decile,23182.55
NEGROS ISLAND REGION,2023,6th Decile,26083.16
NEGROS ISLAND REGION,2023,7th Decile,30395.5
NEGROS ISLAND REGION,2023,8th Decile,35622.07
NEGROS ISLAND REGION,2023,9th Decile,45193.46
NEGROS ISLAND REGION,2023,All Income Groups,314461.45
Negros Occidental (Excluding City of Bacolod),2018,10th Decile,34706.31
Negros Occidental (Excluding City of Bacolod),2018,1st Decile,5884.7
Negros Occidental (Excluding City of Bacolod),2018,2nd Decile,7243.85
Negros Occidental (Excluding City of Bacolod),2018,3rd Decile,8226.91
Negros Occidental (Excluding City of Bacolod),2018,4th Decile,9036.68
Negros Occidental (Excluding City of Bacolod),2018,5th Decile,9505.08
Negros Occidental (Excluding City of Bacolod),2018,6th Decile,10573.33
Negros Occidental (Excluding City of Bacolod),2018,7th Decile,12018.67
Negros Occidental (Excluding City of Bacolod),2018,8th Decile,13575.52
Negros Occidental (Excluding City of Bacolod),2018,9th Decile,17653.64
Negros Occidental (Excluding City of Bacolod),2018,All Income Groups,128424.68
Negros Occidental (Excluding City of Bacolod),2021,10th Decile,33030.25
Negros Occidental (Excluding City of Bacolod),2021,1st Decile,6677.58
Negros Occidental (Excluding City of Bacolod),2021,2nd Decile,8332.31
Negros Occidental (Excluding City of Bacolod),2021,3rd Decile,9264.97
Negros Occidental (Excluding City of Bacolod),2021,4th Decile,9745.67
Negros Occidental (Excluding City of Bacolod),2021,5th Decile,10147.35
Negros Occidental (Excluding City of Bacolod),2021,6th Decile,11594.3
Negros Occidental (Excluding City of Bacolod),2021,7th Decile,12082.07
Negros Occidental (Excluding City of Bacolod),2021,8th Decile,13542.04
Negros Occidental (Excluding City of Bacolod),2021,9th Decile,16041.29
Negros Occidental (Excluding City of Bacolod),2021,All Income Groups,130457.84
Negros Occidental (Excluding City of Bacolod),2023,10th Decile,40532.24
Negros Occidental (Excluding City of Bacolod),2023,1st Decile,8220.28
Negros Occidental (Excluding City of Bacolod),2023,2nd Decile,9444.21
Negros Occidental (Excluding City of Bacolod),2023,3rd Decile,11233.12
Negros Occidental (Excluding City of Bacolod),2023,4th Decile,12195.42
Negros Occidental (Excluding City of Bacolod),2023,5th Decile,12262.26
Negros Occidental (Excluding City of Bacolod),2023,6th Decile,13293.2
Negros Occidental (Excluding City of Bacolod),2023,7th Decile,15598.14
Negros Occidental (Excluding City of Bacolod),2023,8th Decile,18074.33
Negros Occidental (Excluding City of Bacolod),2023,9th Decile,19030.81
Negros Occidental (Excluding City of Bacolod),2023,All Income Groups,159884.0
City of Bacolod,2018,10th Decile,13852.27
City of Bacolod,2018,1st Decile,2138.8
City of Bacolod,2018,2nd Decile,2541.52
City of Bacolod,2018,3rd Decile,2928.96
City of Bacolod,2018,4th Decile,3493.02
City of Bacolod,2018,5th Decile,3735.94
City of Bacolod,2018,6th Decile,4083.22
City of Bacolod,2018,7th Decile,4316.01
City of Bacolod,2018,8th Decile,5816.69
City of Bacolod,2018,9th Decile,7189.82
City of Bacolod,2018,All Income Groups,50096.26
City of Bacolod,2021,10th Decile,11718.39
City of Bacolod,2021,1st Decile,2357.88
City of Bacolod,2021,2nd Decile,2837.76
City of Bacolod,2021,3rd Decile,3380.52
City of Bacolod,2021,4th Decile,3789.73
City of Bacolod,2021,5th Decile,4044.75
City of Bacolod,2021,6th Decile,4342.04
City of Bacolod,2021,7th Decile,4925.87
City of Bacolod,2021,8th Decile,5593.22
City of Bacolod,2021,9th Decile,7476.68
City of Bacolod,2021,All Income Groups,50466.85
City of Bacolod,2023,10th Decile,10189.57
City of Bacolod,2023,1st Decile,2789.94
City of Bacolod,2023,2nd Decile,3579.74
City of Bacolod,2023,3rd Decile,3946.64
City of Bacolod,2023,4th Decile,4123.41
City of Bacolod,2023,5th Decile,4880.27
City of Bacolod,2023,6th Decile,5058.79
City of Bacolod,2023,7th Decile,5351.05
City of Bacolod,2023,8th Decile,6656.25
City of Bacolod,2023,9th Decile,7417.82
City of Bacolod,2023,All Income Groups,53993.48
Negros Oriental,2018,10th Decile,29916.81
Negros Oriental,2018,1st Decile,2915.12
Negros Oriental,2018,2nd Decile,3832.43
Negros Oriental,2018,3rd Decile,4293.19
Negros Oriental,2018,4th Decile,4721.96
Negros Oriental,2018,5th Decile,5285.69
Negros Oriental,2018,6th Decile,5542.01
Negros Oriental,2018,7th Decile,7023.01
Negros Oriental,2018,8th Decile,9185.05
Negros Oriental,2018,9th Decile,13175.97
Negros Oriental,2018,All Income Groups,85891.23
Negros Oriental,2021,10th Decile,27792.2
Negros Oriental,2021,1st Decile,2931.94
Negros Oriental,2021,2nd Decile,3560.31
Negros Oriental,2021,3rd Decile,4269.61
Negros Oriental,2021,4th Decile,4944.54
Negros Oriental,2021,5th Decile,5367.79
Negros Oriental,2021,6th Decile,6256.54
Negros Oriental,2021,7th Decile,6891.79
Negros Oriental,2021,8th Decile,8271.67
Negros Oriental,2021,9th Decile,12868.05
Negros Oriental,2021,All Income Groups,83154.45
Negros Oriental,2023,10th Decile,29527.88
Negros Oriental,2023,1st Decile,3128.59
Negros Oriental,2023,2nd Decile,3941.65
Negros Oriental,2023,3rd Decile,4475.4
Negros Oriental,2023,4th Decile,5242.66
Negros Oriental,2023,5th Decile,5853.05
Negros Oriental,2023,6th Decile,6938.09
Negros Oriental,2023,7th Decile,8059.1
Negros Oriental,2023,8th Decile,10863.66
Negros Oriental,2023,9th Decile,13585.14
Negros Oriental,2023,All Income Groups,91615.23
Siquijor,2018,10th Decile,2189.47
Siquijor,2018,1st Decile,295.6
Siquijor,2018,2nd Decile,337.89
Siquijor,2018,3rd Decile,429.89
Siquijor,2018,4th Decile,426.14
Siquijor,2018,5th Decile,485.13
Siquijor,2018,6th Decile,565.3
Siquijor,2018,7th Decile,674.13
Siquijor,2018,8th Decile,676.41
Siquijor,2018,9th Decile,1057.02
Siquijor,2018,All Income Groups,7136.99
Siquijor,2021,10th Decile,2493.23
Siquijor,2021,1st Decile,369.87
Siquijor,2021,2nd Decile,403.72
Siquijor,2021,3rd Decile,417.18
Siquijor,2021,4th Decile,431.86
Siquijor,2021,5th Decile,568.5
Siquijor,2021,6th Decile,625.57
Siquijor,2021,7th Decile,660.84
Siquijor,2021,8th Decile,807.18
Siquijor,2021,9th Decile,1216.02
Siquijor,2021,All Income Groups,7993.97
Siquijor,2023,10th Decile,2910.08
Siquijor,2023,1st Decile,428.95
Siquijor,2023,2nd Decile,445.81
Siquijor,2023,3rd Decile,506.96
Siquijor,2023,4th Decile,557.0
Siquijor,2023,5th Decile,562.57
Siquijor,2023,6th Decile,733.98
Siquijor,2023,7th Decile,788.34
Siquijor,2023,8th Decile,940.58
Siquijor,2023,9th Decile,1094.49
Siquijor,2023,All Income Groups,8968.74
REGION VII - CENTRAL VISAYAS,2018,10th Decile,136929.91
REGION VII - CENTRAL VISAYAS,2018,1st Decile,17947.97
REGION VII - CENTRAL VISAYAS,2018,2nd Decile,22854.84
REGION VII - CENTRAL VISAYAS,2018,3rd Decile,26231.86
REGION VII - CENTRAL VISAYAS,2018,4th Decile,30194.38
REGION VII - CENTRAL VISAYAS,2018,5th Decile,34215.35
REGION VII - CENTRAL VISAYAS,2018,6th Decile,38950.34
REGION VII - CENTRAL VISAYAS,2018,7th Decile,45201.08
REGION VII - CENTRAL VISAYAS,2018,8th Decile,53244.03
REGION VII - CENTRAL VISAYAS,2018,9th Decile,67774.26
REGION VII - CENTRAL VISAYAS,2018,All Income Groups,473544.02
REGION VII - CENTRAL VISAYAS,2021,10th Decile,135761.38
REGION VII - CENTRAL VISAYAS,2021,1st Decile,16510.6
REGION VII - CENTRAL VISAYAS,2021,2nd Decile,21841.63
REGION VII - CENTRAL VISAYAS,2021,3rd Decile,25224.94
REGION VII - CENTRAL VISAYAS,2021,4th Decile,30877.72
REGION VII - CENTRAL VISAYAS,2021,5th Decile,34441.05
REGION VII - CENTRAL VISAYAS,2021,6th Decile,37884.86
REGION VII - CENTRAL VISAYAS,2021,7th Decile,44235.05
REGION VII - CENTRAL VISAYAS,2021,8th Decile,53563.64
REGION VII - CENTRAL VISAYAS,2021,9th Decile,69649.7
REGION VII - CENTRAL VISAYAS,2021,All Income Groups,469990.58
REGION VII - CENTRAL VISAYAS,2023,10th Decile,128635.57
REGION VII - CENTRAL VISAYAS,2023,1st Decile,24813.52
REGION VII - CENTRAL VISAYAS,2023,2nd Decile,32032.44
REGION VII - CENTRAL VISAYAS,2023,3rd Decile,34609.09
REGION VII - CENTRAL VISAYAS,2023,4th Decile,40130.04
REGION VII - CENTRAL VISAYAS,2023,5th Decile,45389.87
REGION VII - CENTRAL VISAYAS,2023,6th Decile,48961.53
REGION VII - CENTRAL VISAYAS,2023,7th Decile,54611.39
REGION VII - CENTRAL VISAYAS,2023,8th Decile,64962.98
REGION VII - CENTRAL VISAYAS,2023,9th Decile,75310.01
REGION VII - CENTRAL VISAYAS,2023,All Income Groups,549456.44
Bohol,2018,10th Decile,27737.77
Bohol,2018,1st Decile,3766.01
Bohol,2018,2nd Decile,4456.08
Bohol,2018,3rd Decile,5001.74
Bohol,2018,4th Decile,5148.7
Bohol,2018,5th Decile,5901.03
Bohol,2018,6th Decile,7017.1
Bohol,2018,7th Decile,8036.15
Bohol,2018,8th Decile,9427.52
Bohol,2018,9th Decile,13525.7
Bohol,2018,All Income Groups,90017.79
Bohol,2021,10th Decile,23311.98
Bohol,2021,1st Decile,2937.46
Bohol,2021,2nd Decile,3940.48
Bohol,2021,3rd Decile,4885.46
Bohol,2021,4th Decile,4821.98
Bohol,2021,5th Decile,5689.37
Bohol,2021,6th Decile,6519.06
Bohol,2021,7th Decile,6731.84
Bohol,2021,8th Decile,8426.44
Bohol,2021,9th Decile,12496.88
Bohol,2021,All Income Groups,79760.94
Bohol,2023,10th Decile,27362.54
Bohol,2023,1st Decile,4090.0
Bohol,2023,2nd Decile,5035.64
Bohol,2023,3rd Decile,6230.88
Bohol,2023,4th Decile,6692.9
Bohol,2023,5th Decile,7058.79
Bohol,2023,6th Decile,7850.11
Bohol,2023,7th Decile,9206.78
Bohol,2023,8th Decile,10410.39
Bohol,2023,9th Decile,13296.8
Bohol,2023,All Income Groups,97234.83
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,10th Decile,54312.11
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,1st Decile,8269.54
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,2nd Decile,10324.95
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,3rd Decile,11981.44
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,4th Decile,13373.28
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,5th Decile,16151.01
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,6th Decile,16858.91
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,7th Decile,20319.78
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,8th Decile,21435.97
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,9th Decile,28379.69
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2018,All Income Groups,201406.68
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,10th Decile,65515.8
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,1st Decile,7671.56
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,2nd Decile,9858.92
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,3rd Decile,11675.78
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,4th Decile,12751.39
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,5th Decile,15770.4
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,6th Decile,16646.05
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,7th Decile,18297.46
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,8th Decile,23709.49
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,9th Decile,30958.01
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2021,All Income Groups,212854.87
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,10th Decile,58905.06
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,1st Decile,12444.66
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,2nd Decile,15422.42
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,3rd Decile,16289.71
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,4th Decile,18530.6
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,5th Decile,20209.9
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,6th Decile,23058.15
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,7th Decile,23889.8
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,8th Decile,27903.89
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,9th Decile,32444.03
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2023,All Income Groups,249098.22
City of Cebu,2018,10th Decile,33720.32
City of Cebu,2018,1st Decile,3525.12
City of Cebu,2018,2nd Decile,4597.17
City of Cebu,2018,3rd Decile,5233.1
City of Cebu,2018,4th Decile,5918.06
City of Cebu,2018,5th Decile,7241.65
City of Cebu,2018,6th Decile,8137.84
City of Cebu,2018,7th Decile,9662.29
City of Cebu,2018,8th Decile,10773.79
City of Cebu,2018,9th Decile,13372.86
City of Cebu,2018,All Income Groups,102182.2
City of Cebu,2021,10th Decile,19848.33
City of Cebu,2021,1st Decile,3869.68
City of Cebu,2021,2nd Decile,4800.59
City of Cebu,2021,3rd Decile,5968.01
City of Cebu,2021,4th Decile,6091.01
City of Cebu,2021,5th Decile,6724.71
City of Cebu,2021,6th Decile,7768.03
City of Cebu,2021,7th Decile,8429.98
City of Cebu,2021,8th Decile,9997.69
City of Cebu,2021,9th Decile,11231.04
City of Cebu,2021,All Income Groups,84729.07
City of Cebu,2023,10th Decile,18058.49
City of Cebu,2023,1st Decile,5092.06
City of Cebu,2023,2nd Decile,6096.21
City of Cebu,2023,3rd Decile,7198.43
City of Cebu,2023,4th Decile,7572.23
City of Cebu,2023,5th Decile,8169.9
City of Cebu,2023,6th Decile,8819.45
City of Cebu,2023,7th Decile,9753.8
City of Cebu,2023,8th Decile,11227.43
City of Cebu,2023,9th Decile,12124.16
City of Cebu,2023,All Income Groups,94112.17
City of Lapu-Lapu (Opon),2018,10th Decile,10534.12
City of Lapu-Lapu (Opon),2018,1st Decile,1703.09
City of Lapu-Lapu (Opon),2018,2nd Decile,2251.38
City of Lapu-Lapu (Opon),2018,3rd Decile,2486.04
City of Lapu-Lapu (Opon),2018,4th Decile,3098.94
City of Lapu-Lapu (Opon),2018,5th Decile,3345.45
City of Lapu-Lapu (Opon),2018,6th Decile,3774.87
City of Lapu-Lapu (Opon),2018,7th Decile,4144.71
City of Lapu-Lapu (Opon),2018,8th Decile,4931.52
City of Lapu-Lapu (Opon),2018,9th Decile,6689.99
City of Lapu-Lapu (Opon),2018,All Income Groups,42960.1
City of Lapu-Lapu (Opon),2021,10th Decile,14740.22
City of Lapu-Lapu (Opon),2021,1st Decile,1967.13
City of Lapu-Lapu (Opon),2021,2nd Decile,2661.73
City of Lapu-Lapu (Opon),2021,3rd Decile,3106.3
City of Lapu-Lapu (Opon),2021,4th Decile,3445.03
City of Lapu-Lapu (Opon),2021,5th Decile,3901.54
City of Lapu-Lapu (Opon),2021,6th Decile,4138.29
City of Lapu-Lapu (Opon),2021,7th Decile,4964.67
City of Lapu-Lapu (Opon),2021,8th Decile,5192.53
City of Lapu-Lapu (Opon),2021,9th Decile,7805.88
City of Lapu-Lapu (Opon),2021,All Income Groups,51923.31
City of Lapu-Lapu (Opon),2023,10th Decile,11977.51
City of Lapu-Lapu (Opon),2023,1st Decile,2628.17
City of Lapu-Lapu (Opon),2023,2nd Decile,3386.8
City of Lapu-Lapu (Opon),2023,3rd Decile,4069.03
City of Lapu-Lapu (Opon),2023,4th Decile,4346.43
City of Lapu-Lapu (Opon),2023,5th Decile,4967.32
City of Lapu-Lapu (Opon),2023,6th Decile,5224.11
City of Lapu-Lapu (Opon),2023,7th Decile,6024.32
City of Lapu-Lapu (Opon),2023,8th Decile,6107.64
City of Lapu-Lapu (Opon),2023,9th Decile,7708.37
City of Lapu-Lapu (Opon),2023,All Income Groups,56439.7
City of Mandaue ,2018,10th Decile,8537.76
City of Mandaue ,2018,1st Decile,1793.44
City of Mandaue ,2018,2nd Decile,2197.03
City of Mandaue ,2018,3rd Decile,2449.44
City of Mandaue ,2018,4th Decile,2919.32
City of Mandaue ,2018,5th Decile,3307.92
City of Mandaue ,2018,6th Decile,3461.39
City of Mandaue ,2018,7th Decile,3640.59
City of Mandaue ,2018,8th Decile,4262.58
City of Mandaue ,2018,9th Decile,4407.77
City of Mandaue ,2018,All Income Groups,36977.24
City of Mandaue ,2021,10th Decile,10680.6
City of Mandaue ,2021,1st Decile,1907.2
City of Mandaue ,2021,2nd Decile,2337.92
City of Mandaue ,2021,3rd Decile,2789.81
City of Mandaue ,2021,4th Decile,2710.04
City of Mandaue ,2021,5th Decile,3147.27
City of Mandaue ,2021,6th Decile,3711.34
City of Mandaue ,2021,7th Decile,4062.28
City of Mandaue ,2021,8th Decile,4325.71
City of Mandaue ,2021,9th Decile,5050.22
City of Mandaue ,2021,All Income Groups,40722.38
City of Mandaue ,2023,10th Decile,10753.05
City of Mandaue ,2023,1st Decile,2525.0
City of Mandaue ,2023,2nd Decile,3448.68
City of Mandaue ,2023,3rd Decile,3732.5
City of Mandaue ,2023,4th Decile,4537.0
City of Mandaue ,2023,5th Decile,4715.74
City of Mandaue ,2023,6th Decile,4858.68
City of Mandaue ,2023,7th Decile,5482.94
City of Mandaue ,2023,8th Decile,6132.39
City of Mandaue ,2023,9th Decile,6385.53
City of Mandaue ,2023,All Income Groups,52571.52
REGION VIII - EASTERN VISAYAS,2018,10th Decile,77605.84
REGION VIII - EASTERN VISAYAS,2018,1st Decile,10200.67
REGION VIII - EASTERN VISAYAS,2018,2nd Decile,12400.33
REGION VIII - EASTERN VISAYAS,2018,3rd Decile,13613.9
REGION VIII - EASTERN VISAYAS,2018,4th Decile,13924.5
REGION VIII - EASTERN VISAYAS,2018,5th Decile,15952.96
REGION VIII - EASTERN VISAYAS,2018,6th Decile,17891.1
REGION VIII - EASTERN VISAYAS,2018,7th Decile,19195.26
REGION VIII - EASTERN VISAYAS,2018,8th Decile,24117.97
REGION VIII - EASTERN VISAYAS,2018,9th Decile,34986.48
REGION VIII - EASTERN VISAYAS,2018,All Income Groups,239889.02
REGION VIII - EASTERN VISAYAS,2021,10th Decile,87492.16
REGION VIII - EASTERN VISAYAS,2021,1st Decile,11411.64
REGION VIII - EASTERN VISAYAS,2021,2nd Decile,13998.55
REGION VIII - EASTERN VISAYAS,2021,3rd Decile,15513.34
REGION VIII - EASTERN VISAYAS,2021,4th Decile,16855.56
REGION VIII - EASTERN VISAYAS,2021,5th Decile,18193.64
REGION VIII - EASTERN VISAYAS,2021,6th Decile,20321.04
REGION VIII - EASTERN VISAYAS,2021,7th Decile,23033.68
REGION VIII - EASTERN VISAYAS,2021,8th Decile,28324.68
REGION VIII - EASTERN VISAYAS,2021,9th Decile,40231.17
REGION VIII - EASTERN VISAYAS,2021,All Income Groups,275375.47
REGION VIII - EASTERN VISAYAS,2023,10th Decile,89090.46
REGION VIII - EASTERN VISAYAS,2023,1st Decile,15196.68
REGION VIII - EASTERN VISAYAS,2023,2nd Decile,18095.5
REGION VIII - EASTERN VISAYAS,2023,3rd Decile,20014.74
REGION VIII - EASTERN VISAYAS,2023,4th Decile,21421.2
