Region,Year,GRDP,PriceType
Region I (Ilocos Region),2014,430678687,Current Prices
Region II (Cagayan Valley),2014,304061090,Current Prices
Region III (Central Luzon),2014,1461916690,Current Prices
Region IV-A (CALABARZON),2014,2006907506,Current Prices
MIMAROPA Region,2014,276139956,Current Prices
Region V (Bicol Region),2014,366663555,Current Prices
Region VI (Western Visayas),2014,615916323,Current Prices
Region VII (Central Visayas),2014,829547258,Current Prices
Region VIII (Eastern Visayas),2014,305697115,Current Prices
Region IX (Zamboanga Peninsula),2014,276633110,Current Prices
Region X (Northern Mindanao),2014,569991317,Current Prices
Region XI (Davao Region),2014,555456044,Current Prices
Region XII (SOCCSKSARGEN),2014,352653227,Current Prices
Region XIII (Caraga),2014,223865240,Current Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2014,178403975,Current Prices
Philippines,2014,13206828252,Current Prices
National Capital Region (NCR),2015,4532443704,Current Prices
Cordillera Administrative Region (CAR),2015,243673958,Current Prices
Region I (Ilocos Region),2015,449373363,Current Prices
Region II (Cagayan Valley),2015,303113509,Current Prices
Region III (Central Luzon),2015,1511232438,Current Prices
Region IV-A (CALABARZON),2015,2076801161,Current Prices
MIMAROPA Region,2015,274605684,Current Prices
Region V (Bicol Region),2015,395256951,Current Prices
Region VI (Western Visayas),2015,667996261,Current Prices
Region VII (Central Visayas),2015,889023020,Current Prices
Region VIII (Eastern Visayas),2015,324929357,Current Prices
Region IX (Zamboanga Peninsula),2015,300939935,Current Prices
Region X (Northern Mindanao),2015,609017243,Current Prices
Region XI (Davao Region),2015,602911849,Current Prices
Region XII (SOCCSKSARGEN),2015,354753546,Current Prices
Region XIII (Caraga),2015,235177755,Current Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2015,172907713,Current Prices
Philippines,2015,13944157448,Current Prices
National Capital Region (NCR),2016,4928222539,Current Prices
Cordillera Administrative Region (CAR),2016,255584787,Current Prices
Region I (Ilocos Region),2016,490900560,Current Prices
Region II (Cagayan Valley),2016,323458416,Current Prices
Region III (Central Luzon),2016,1640708336,Current Prices
Region IV-A (CALABARZON),2016,2206254090,Current Prices
MIMAROPA Region,2016,287300274,Current Prices
Region V (Bicol Region),2016,431762419,Current Prices
Region VI (Western Visayas),2016,720566797,Current Prices
Region VII (Central Visayas),2016,977480106,Current Prices
Region VIII (Eastern Visayas),2016,376587299,Current Prices
Region IX (Zamboanga Peninsula),2016,322282583,Current Prices
Region X (Northern Mindanao),2016,679435851,Current Prices
Region XI (Davao Region),2016,674076172,Current Prices
Region XII (SOCCSKSARGEN),2016,381711706,Current Prices
Region XIII (Caraga),2016,251476878,Current Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2016,184572658,Current Prices
Philippines,2016,15132381470,Current Prices
National Capital Region (NCR),2017,5327124065,Current Prices
Cordillera Administrative Region (CAR),2017,280805810,Current Prices
Region I (Ilocos Region),2017,527801491,Current Prices
Region II (Cagayan Valley),2017,358686602,Current Prices
Region III (Central Luzon),2017,1860323671,Current Prices
Region IV-A (CALABARZON),2017,2423069480,Current Prices
MIMAROPA Region,2017,321948705,Current Prices
Region V (Bicol Region),2017,465966050,Current Prices
Region VI (Western Visayas),2017,791281769,Current Prices
Region VII (Central Visayas),2017,1067272679,Current Prices
Region VIII (Eastern Visayas),2017,397386688,Current Prices
Region IX (Zamboanga Peninsula),2017,344667607,Current Prices
Region X (Northern Mindanao),2017,737898187,Current Prices
Region XI (Davao Region),2017,748538551,Current Prices
Region XII (SOCCSKSARGEN),2017,420127877,Current Prices
Region XIII (Caraga),2017,273088164,Current Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2017,210663685,Current Prices
Philippines,2017,16556651083,Current Prices
National Capital Region (NCR),2018,5814440130,Current Prices
Cordillera Administrative Region (CAR),2018,308267122,Current Prices
Region I (Ilocos Region),2018,587597251,Current Prices
Region II (Cagayan Valley),2018,385061271,Current Prices
Region III (Central Luzon),2018,2062393875,Current Prices
Region IV-A (CALABARZON),2018,2706994745,Current Prices
MIMAROPA Region,2018,370744808,Current Prices
Region V (Bicol Region),2018,522014835,Current Prices
Region VI (Western Visayas),2018,860107768,Current Prices
Region VII (Central Visayas),2018,1180945761,Current Prices
Region VIII (Eastern Visayas),2018,444384029,Current Prices
Region IX (Zamboanga Peninsula),2018,379428020,Current Prices
Region X (Northern Mindanao),2018,821122015,Current Prices
Region XI (Davao Region),2018,841429225,Current Prices
Region XII (SOCCSKSARGEN),2018,454304549,Current Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2018,235393060,Current Prices
Philippines,2018,18265190258,Current Prices
National Capital Region (NCR),2019,6294194685,Current Prices
Cordillera Administrative Region (CAR),2019,322106088,Current Prices
Region I (Ilocos Region),2019,630300658,Current Prices
Region II (Cagayan Valley),2019,399370781,Current Prices
Region III (Central Luzon),2019,2184815143,Current Prices
Region IV-A (CALABARZON),2019,2865792547,Current Prices
MIMAROPA Region,2019,375589553,Current Prices
Region V (Bicol Region),2019,560835429,Current Prices
Region VI (Western Visayas),2019,919163055,Current Prices
Region VII (Central Visayas),2019,1270612311,Current Prices
Region VIII (Eastern Visayas),2019,455533643,Current Prices
Region IX (Zamboanga Peninsula),2019,399109397,Current Prices
Region X (Northern Mindanao),2019,885223985,Current Prices
Region XI (Davao Region),2019,922613763,Current Prices
Region XII (SOCCSKSARGEN),2019,474892618,Current Prices
Region XIII (Caraga),2019,302930146,Current Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2019,254779370,Current Prices
Philippines,2019,19517863172,Current Prices
National Capital Region (NCR),2020,5800819179,Current Prices
Cordillera Administrative Region (CAR),2020,295502542,Current Prices
Region I (Ilocos Region),2020,597917300,Current Prices
Region II (Cagayan Valley),2020,367331248,Current Prices
Region III (Central Luzon),2020,1864111182,Current Prices
Region IV-A (CALABARZON),2020,2565120461,Current Prices
MIMAROPA Region,2020,342643478,Current Prices
Region V (Bicol Region),2020,516847516,Current Prices
Region VI (Western Visayas),2020,850797186,Current Prices
Region VII (Central Visayas),2020,1170115820,Current Prices
Region VIII (Eastern Visayas),2020,414265871,Current Prices
Region IX (Zamboanga Peninsula),2020,394821669,Current Prices
Region X (Northern Mindanao),2020,860415357,Current Prices
Region XI (Davao Region),2020,890607548,Current Prices
Region XII (SOCCSKSARGEN),2020,467334771,Current Prices
Region XIII (Caraga),2020,292574562,Current Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020,260347879,Current Prices
Philippines,2020,17951573570,Current Prices
National Capital Region (NCR),2021,6157504618,Current Prices
Cordillera Administrative Region (CAR),2021,323883881,Current Prices
Region I (Ilocos Region),2021,644125310,Current Prices
Region II (Cagayan Valley),2021,400003438,Current Prices
Region III (Central Luzon),2021,2062335867,Current Prices
Region IV-A (CALABARZON),2021,2785990792,Current Prices
MIMAROPA Region,2021,382709950,Current Prices
Region V (Bicol Region),2021,564637176,Current Prices
Region VI (Western Visayas),2021,937010126,Current Prices
Region VII (Central Visayas),2021,1237764942,Current Prices
Region VIII (Eastern Visayas),2021,450146977,Current Prices
Region IX (Zamboanga Peninsula),2021,428106861,Current Prices
Region X (Northern Mindanao),2021,948892065,Current Prices
Region XI (Davao Region),2021,967140487,Current Prices
Region XII (SOCCSKSARGEN),2021,503888631,Current Prices
Region XIII (Caraga),2021,331856215,Current Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2021,284617149,Current Prices
Philippines,2021,19410614486,Current Prices
National Capital Region (NCR),2022,6892127003,Current Prices
Cordillera Administrative Region (CAR),2022,366057851,Current Prices
Region I (Ilocos Region),2022,729469681,Current Prices
Region II (Cagayan Valley),2022,455676928,Current Prices
Region III (Central Luzon),2022,2367250960,Current Prices
Region IV-A (CALABARZON),2022,3140377483,Current Prices
MIMAROPA Region,2022,453089929,Current Prices
Region V (Bicol Region),2022,645781755,Current Prices
Region VI (Western Visayas),2022,1134194218,Current Prices
Region VII (Central Visayas),2022,1406489640,Current Prices
Region VIII (Eastern Visayas),2022,512826609,Current Prices
Region IX (Zamboanga Peninsula),2022,490181436,Current Prices
Region X (Northern Mindanao),2022,1070791029,Current Prices
Region XI (Davao Region),2022,1096004125,Current Prices
Region XII (SOCCSKSARGEN),2022,564300355,Current Prices
Region XIII (Caraga),2022,376843866,Current Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2022,326813470,Current Prices
Philippines,2022,22028276338,Current Prices
National Capital Region (NCR),2023,7572347073,Current Prices
Cordillera Administrative Region (CAR),2023,410562374,Current Prices
Region I (Ilocos Region),2023,814288143,Current Prices
Region II (Cagayan Valley),2023,510834729,Current Prices
Region III (Central Luzon),2023,2650681588,Current Prices
Region IV-A (CALABARZON),2023,3436079161,Current Prices
MIMAROPA Region,2023,472213804,Current Prices
Region V (Bicol Region),2023,701723005,Current Prices
Region VI (Western Visayas),2023,1244688483,Current Prices
Region VII (Central Visayas),2023,1579060110,Current Prices
Region VIII (Eastern Visayas),2023,568717613,Current Prices
Region IX (Zamboanga Peninsula),2023,531738174,Current Prices
Region X (Northern Mindanao),2023,1180098638,Current Prices
Region XI (Davao Region),2023,1255053914,Current Prices
Region XII (SOCCSKSARGEN),2023,620379069,Current Prices
Region XIII (Caraga),2023,406454861,Current Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2023,363690662,Current Prices
Philippines,2023,24318611399,Current Prices
National Capital Region (NCR),2000,2416391870,Constant 2018 Prices
Cordillera Administrative Region (CAR),2000,143658283,Constant 2018 Prices
Region I (Ilocos Region),2000,240124758,Constant 2018 Prices
Region II (Cagayan Valley),2000,158218411,Constant 2018 Prices
