Housing_Unit_Type,Region,City/Province,Year,Occupied Housing Units,Number of Households /a,Household Population /a,Total,One Floor,Two Floors,Three Floors,Four Floors,Five to 10 Floors,11 Floors or more,Not Reported,Not applicable
Not Reported,National Capital Region (Ncr),City Of Parañaque,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Parañaque,2020,7828.0,8228.0,30151.0,7828.0,2060.0,4323.0,1063.0,289.0,51.0,22.0,20.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Parañaque,2020,9.0,9.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Single House,National Capital Region (Ncr),City Of Parañaque,2020,131629.0,140583.0,545000.0,131629.0,59528.0,61507.0,8901.0,1156.0,0.0,0.0,537.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Pasig,2020,196744.0,212866.0,801376.0,196744.0,63237.0,84750.0,25553.0,6387.0,10106.0,6088.0,621.0,2.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Pasig,2020,39568.0,41687.0,144315.0,39568.0,8279.0,18832.0,9037.0,2571.0,818.0,27.0,4.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Pasig,2020,521.0,671.0,1680.0,521.0,228.0,232.0,42.0,10.0,9.0,0.0,0.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Pasig,2020,11535.0,12054.0,38414.0,11535.0,0.0,0.0,0.0,42.0,6562.0,4869.0,62.0,0.0
Duplex,National Capital Region (Ncr),City Of Pasig,2020,11219.0,12265.0,47671.0,11219.0,3783.0,5952.0,1225.0,221.0,0.0,0.0,38.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Pasig,2020,21.0,21.0,71.0,21.0,12.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Pasig,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Pasig,2020,20491.0,22045.0,79727.0,20491.0,3584.0,8238.0,3050.0,1686.0,2716.0,1192.0,25.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Pasig,2020,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Single House,National Capital Region (Ncr),City Of Pasig,2020,113387.0,124121.0,489493.0,113387.0,47351.0,51494.0,12193.0,1857.0,0.0,0.0,492.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of San Juan,2020,29503.0,31415.0,124339.0,29503.0,2893.0,13937.0,4935.0,2157.0,1432.0,2887.0,1247.0,15.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of San Juan,2020,4000.0,4234.0,16409.0,4000.0,143.0,2184.0,997.0,595.0,70.0,10.0,1.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of San Juan,2020,156.0,190.0,467.0,156.0,28.0,67.0,29.0,19.0,12.0,1.0,0.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of San Juan,2020,3538.0,3557.0,13376.0,3538.0,0.0,0.0,0.0,28.0,542.0,2872.0,96.0,0.0
Duplex,National Capital Region (Ncr),City Of San Juan,2020,764.0,851.0,3495.0,764.0,51.0,454.0,176.0,55.0,0.0,0.0,28.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of San Juan,2020,5.0,7.0,11.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Not Reported,National Capital Region (Ncr),City Of San Juan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of San Juan,2020,5547.0,5897.0,22461.0,5547.0,202.0,2236.0,1339.0,897.0,808.0,4.0,61.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of San Juan,2020,15.0,15.0,68.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Single House,National Capital Region (Ncr),City Of San Juan,2020,15478.0,16664.0,68052.0,15478.0,2467.0,8996.0,2392.0,563.0,0.0,0.0,1060.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Taguig,2020,228341.0,246790.0,882379.0,228341.0,97247.0,73957.0,35597.0,9675.0,8347.0,2934.0,578.0,6.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Taguig,2020,50869.0,53230.0,179814.0,50869.0,13410.0,17327.0,14927.0,4339.0,842.0,18.0,6.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Taguig,2020,243.0,266.0,668.0,243.0,111.0,113.0,10.0,7.0,2.0,0.0,0.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Taguig,2020,4652.0,4976.0,16195.0,4652.0,0.0,0.0,0.0,31.0,2880.0,1727.0,14.0,0.0
Duplex,National Capital Region (Ncr),City Of Taguig,2020,14700.0,16169.0,58386.0,14700.0,7519.0,5401.0,1497.0,249.0,0.0,0.0,34.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Taguig,2020,23.0,26.0,95.0,23.0,4.0,14.0,1.0,2.0,0.0,2.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Taguig,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Taguig,2020,35232.0,36927.0,125456.0,35232.0,9401.0,9731.0,7150.0,3084.0,4623.0,1187.0,56.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Taguig,2020,6.0,8.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Single House,National Capital Region (Ncr),City Of Taguig,2020,122616.0,135188.0,501736.0,122616.0,66802.0,41371.0,12012.0,1963.0,0.0,0.0,468.0,0.0
All Types Of Building,National Capital Region (Ncr),City Of Valenzuela,2020,177749.0,192983.0,713139.0,177749.0,103012.0,53146.0,17314.0,1876.0,1839.0,210.0,351.0,1.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),City Of Valenzuela,2020,46291.0,48998.0,173205.0,46291.0,20417.0,15807.0,7851.0,1196.0,965.0,2.0,53.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),City Of Valenzuela,2020,1999.0,2605.0,5852.0,1999.0,1294.0,519.0,133.0,40.0,5.0,1.0,7.0,0.0
Condominium/Condotel,National Capital Region (Ncr),City Of Valenzuela,2020,1002.0,1011.0,3472.0,1002.0,0.0,0.0,0.0,3.0,791.0,194.0,14.0,0.0
Duplex,National Capital Region (Ncr),City Of Valenzuela,2020,8521.0,9090.0,33642.0,8521.0,5582.0,2484.0,315.0,25.0,0.0,0.0,115.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),City Of Valenzuela,2020,48.0,60.0,174.0,48.0,15.0,9.0,9.0,2.0,13.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),City Of Valenzuela,2020,2.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),City Of Valenzuela,2020,7273.0,7600.0,30781.0,7273.0,2036.0,1667.0,3379.0,108.0,65.0,13.0,5.0,0.0
Other Types Of Building,National Capital Region (Ncr),City Of Valenzuela,2020,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Single House,National Capital Region (Ncr),City Of Valenzuela,2020,112612.0,123616.0,465998.0,112612.0,73668.0,32660.0,5627.0,502.0,0.0,0.0,155.0,0.0
All Types Of Building,National Capital Region (Ncr),Pasay City,2020,114778.0,127290.0,436178.0,114778.0,20382.0,50366.0,16991.0,8146.0,4639.0,12969.0,1272.0,13.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),Pasay City,2020,31761.0,34291.0,111964.0,31761.0,3896.0,15234.0,6590.0,4218.0,1555.0,265.0,3.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),Pasay City,2020,648.0,753.0,1694.0,648.0,153.0,292.0,109.0,65.0,19.0,8.0,2.0,0.0
Condominium/Condotel,National Capital Region (Ncr),Pasay City,2020,15484.0,15957.0,45207.0,15484.0,0.0,0.0,0.0,14.0,2738.0,12667.0,65.0,0.0
Duplex,National Capital Region (Ncr),Pasay City,2020,3372.0,3934.0,14350.0,3372.0,756.0,2036.0,402.0,150.0,0.0,0.0,28.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),Pasay City,2020,9.0,12.0,27.0,9.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),Pasay City,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),Pasay City,2020,6537.0,6922.0,23055.0,6537.0,1142.0,2868.0,1234.0,890.0,325.0,29.0,49.0,0.0
Other Types Of Building,National Capital Region (Ncr),Pasay City,2020,13.0,13.0,38.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Single House,National Capital Region (Ncr),Pasay City,2020,56954.0,65408.0,239843.0,56954.0,14435.0,29934.0,8655.0,2805.0,0.0,0.0,1125.0,0.0
All Types Of Building,National Capital Region (Ncr),Pateros,2020,14103.0,15838.0,65064.0,14103.0,7410.0,5549.0,956.0,175.0,0.0,0.0,13.0,0.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),Pateros,2020,2696.0,2835.0,10921.0,2696.0,1276.0,916.0,391.0,113.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),Pateros,2020,8.0,9.0,11.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,National Capital Region (Ncr),Pateros,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,National Capital Region (Ncr),Pateros,2020,936.0,1031.0,4231.0,936.0,488.0,404.0,40.0,4.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),Pateros,2020,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,National Capital Region (Ncr),Pateros,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),Pateros,2020,311.0,316.0,1241.0,311.0,149.0,146.0,13.0,3.0,0.0,0.0,0.0,0.0
Other Types Of Building,National Capital Region (Ncr),Pateros,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,National Capital Region (Ncr),Pateros,2020,10151.0,11646.0,48659.0,10151.0,5490.0,4081.0,512.0,55.0,0.0,0.0,13.0,0.0
All Types Of Building,National Capital Region (Ncr),Quezon City,2020,697332.0,738367.0,2949533.0,697332.0,321033.0,268331.0,61496.0,15519.0,12969.0,13839.0,4114.0,31.0
Apartment/Accessoria/Row House,National Capital Region (Ncr),Quezon City,2020,94328.0,98250.0,367661.0,94328.0,26757.0,44605.0,14626.0,5762.0,2359.0,197.0,22.0,0.0
Commercial/Industrial/Agricultural,National Capital Region (Ncr),Quezon City,2020,3879.0,4495.0,12362.0,3879.0,1516.0,1067.0,472.0,649.0,108.0,48.0,19.0,0.0
Condominium/Condotel,National Capital Region (Ncr),Quezon City,2020,20385.0,20807.0,67361.0,20385.0,0.0,0.0,0.0,194.0,8822.0,11134.0,235.0,0.0
Duplex,National Capital Region (Ncr),Quezon City,2020,26169.0,27601.0,111826.0,26169.0,11236.0,12198.0,2111.0,439.0,0.0,0.0,185.0,0.0
Institutional Living Quarter,National Capital Region (Ncr),Quezon City,2020,162.0,173.0,467.0,162.0,57.0,54.0,18.0,5.0,27.0,1.0,0.0,0.0
Not Reported,National Capital Region (Ncr),Quezon City,2020,20.0,21.0,84.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
Other Multi-Unit Residential,National Capital Region (Ncr),Quezon City,2020,31110.0,32094.0,119041.0,31110.0,6410.0,12358.0,4998.0,2055.0,1653.0,2459.0,1177.0,0.0
Other Types Of Building,National Capital Region (Ncr),Quezon City,2020,31.0,37.0,94.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
Single House,National Capital Region (Ncr),Quezon City,2020,521248.0,554889.0,2270637.0,521248.0,275057.0,198049.0,39271.0,6415.0,0.0,0.0,2456.0,0.0
All Types Of Building,Region I (Ilocos Region),Ilocos Norte,2020,141731.0,152970.0,608506.0,141731.0,118513.0,22173.0,883.0,129.0,20.0,0.0,7.0,6.0
Apartment/Accessoria/Row House,Region I (Ilocos Region),Ilocos Norte,2020,1504.0,1562.0,5357.0,1504.0,608.0,671.0,182.0,38.0,5.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region I (Ilocos Region),Ilocos Norte,2020,181.0,200.0,704.0,181.0,94.0,46.0,23.0,14.0,4.0,0.0,0.0,0.0
Condominium/Condotel,Region I (Ilocos Region),Ilocos Norte,2020,7.0,7.0,15.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Duplex,Region I (Ilocos Region),Ilocos Norte,2020,4153.0,4426.0,16802.0,4153.0,3386.0,741.0,21.0,3.0,0.0,0.0,2.0,0.0
Institutional Living Quarter,Region I (Ilocos Region),Ilocos Norte,2020,15.0,15.0,61.0,15.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region I (Ilocos Region),Ilocos Norte,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region I (Ilocos Region),Ilocos Norte,2020,1171.0,1218.0,4278.0,1171.0,879.0,245.0,38.0,5.0,4.0,0.0,0.0,0.0
Other Types Of Building,Region I (Ilocos Region),Ilocos Norte,2020,6.0,6.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Single House,Region I (Ilocos Region),Ilocos Norte,2020,134694.0,145536.0,581279.0,134694.0,113535.0,20466.0,619.0,69.0,0.0,0.0,5.0,0.0
All Types Of Building,Region I (Ilocos Region),Ilocos Sur,2020,164711.0,172042.0,704206.0,164711.0,136485.0,27308.0,807.0,84.0,9.0,0.0,15.0,3.0
Apartment/Accessoria/Row House,Region I (Ilocos Region),Ilocos Sur,2020,666.0,731.0,2836.0,666.0,387.0,186.0,88.0,4.0,1.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region I (Ilocos Region),Ilocos Sur,2020,132.0,137.0,522.0,132.0,86.0,28.0,8.0,2.0,8.0,0.0,0.0,0.0
Condominium/Condotel,Region I (Ilocos Region),Ilocos Sur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region I (Ilocos Region),Ilocos Sur,2020,2972.0,3097.0,12124.0,2972.0,2282.0,671.0,13.0,4.0,0.0,0.0,2.0,0.0
Institutional Living Quarter,Region I (Ilocos Region),Ilocos Sur,2020,14.0,14.0,52.0,14.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region I (Ilocos Region),Ilocos Sur,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region I (Ilocos Region),Ilocos Sur,2020,736.0,770.0,3008.0,736.0,456.0,257.0,17.0,6.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region I (Ilocos Region),Ilocos Sur,2020,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Single House,Region I (Ilocos Region),Ilocos Sur,2020,160188.0,167290.0,685658.0,160188.0,133265.0,26161.0,681.0,68.0,0.0,0.0,13.0,0.0
All Types Of Building,Region I (Ilocos Region),La Union,2020,192998.0,205028.0,820335.0,192998.0,168098.0,23615.0,1105.0,159.0,5.0,0.0,11.0,5.0
Apartment/Accessoria/Row House,Region I (Ilocos Region),La Union,2020,2736.0,2816.0,9434.0,2736.0,1132.0,1355.0,169.0,78.0,2.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region I (Ilocos Region),La Union,2020,147.0,152.0,477.0,147.0,65.0,60.0,16.0,5.0,0.0,0.0,1.0,0.0
Condominium/Condotel,Region I (Ilocos Region),La Union,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region I (Ilocos Region),La Union,2020,4301.0,4503.0,17411.0,4301.0,3564.0,702.0,29.0,6.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region I (Ilocos Region),La Union,2020,45.0,50.0,177.0,45.0,15.0,7.0,17.0,6.0,0.0,0.0,0.0,0.0
Not Reported,Region I (Ilocos Region),La Union,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region I (Ilocos Region),La Union,2020,1059.0,1094.0,3967.0,1059.0,736.0,278.0,40.0,2.0,3.0,0.0,0.0,0.0
Other Types Of Building,Region I (Ilocos Region),La Union,2020,5.0,5.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Single House,Region I (Ilocos Region),La Union,2020,184705.0,196408.0,788853.0,184705.0,162586.0,21213.0,834.0,62.0,0.0,0.0,10.0,0.0
All Types Of Building,Region I (Ilocos Region),Pangasinan,2020,732008.0,776180.0,3159191.0,732008.0,642396.0,85817.0,3115.0,297.0,21.0,1.0,325.0,36.0
Apartment/Accessoria/Row House,Region I (Ilocos Region),Pangasinan,2020,5625.0,5804.0,20113.0,5625.0,3012.0,2122.0,428.0,42.0,17.0,0.0,4.0,0.0
Commercial/Industrial/Agricultural,Region I (Ilocos Region),Pangasinan,2020,627.0,674.0,2155.0,627.0,403.0,163.0,46.0,8.0,2.0,1.0,4.0,0.0
Condominium/Condotel,Region I (Ilocos Region),Pangasinan,2020,3.0,3.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Duplex,Region I (Ilocos Region),Pangasinan,2020,17850.0,18617.0,73174.0,17850.0,14979.0,2749.0,95.0,7.0,0.0,0.0,20.0,0.0
Institutional Living Quarter,Region I (Ilocos Region),Pangasinan,2020,38.0,38.0,133.0,38.0,18.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0
Not Reported,Region I (Ilocos Region),Pangasinan,2020,3.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Other Multi-Unit Residential,Region I (Ilocos Region),Pangasinan,2020,5067.0,5259.0,19737.0,5067.0,3958.0,1009.0,63.0,30.0,2.0,0.0,5.0,0.0
Other Types Of Building,Region I (Ilocos Region),Pangasinan,2020,36.0,36.0,86.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Single House,Region I (Ilocos Region),Pangasinan,2020,702759.0,745746.0,3043772.0,702759.0,620026.0,79760.0,2479.0,208.0,0.0,0.0,286.0,0.0
All Types Of Building,Region Ii (Cagayan Valley),Batanes,2020,5174.0,5546.0,18591.0,5174.0,3909.0,1224.0,37.0,1.0,0.0,0.0,2.0,1.0
Apartment/Accessoria/Row House,Region Ii (Cagayan Valley),Batanes,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Ii (Cagayan Valley),Batanes,2020,4.0,4.0,14.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Ii (Cagayan Valley),Batanes,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Ii (Cagayan Valley),Batanes,2020,22.0,22.0,77.0,22.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Ii (Cagayan Valley),Batanes,2020,5.0,5.0,12.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Ii (Cagayan Valley),Batanes,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Ii (Cagayan Valley),Batanes,2020,9.0,9.0,23.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Ii (Cagayan Valley),Batanes,2020,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Single House,Region Ii (Cagayan Valley),Batanes,2020,5133.0,5505.0,18463.0,5133.0,3901.0,1194.0,35.0,1.0,0.0,0.0,2.0,0.0
All Types Of Building,Region Ii (Cagayan Valley),Cagayan,2020,291652.0,301509.0,1265508.0,291652.0,249007.0,40307.0,2027.0,278.0,10.0,1.0,22.0,0.0
Apartment/Accessoria/Row House,Region Ii (Cagayan Valley),Cagayan,2020,1968.0,2005.0,6850.0,1968.0,461.0,1134.0,281.0,90.0,2.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Ii (Cagayan Valley),Cagayan,2020,351.0,368.0,1355.0,351.0,150.0,111.0,53.0,29.0,7.0,1.0,0.0,0.0
Condominium/Condotel,Region Ii (Cagayan Valley),Cagayan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Ii (Cagayan Valley),Cagayan,2020,6666.0,6854.0,26920.0,6666.0,5119.0,1453.0,80.0,14.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Ii (Cagayan Valley),Cagayan,2020,28.0,28.0,114.0,28.0,13.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0
Not Reported,Region Ii (Cagayan Valley),Cagayan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Ii (Cagayan Valley),Cagayan,2020,1423.0,1453.0,5518.0,1423.0,887.0,479.0,45.0,12.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Ii (Cagayan Valley),Cagayan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Region Ii (Cagayan Valley),Cagayan,2020,281216.0,290801.0,1224751.0,281216.0,242377.0,37122.0,1563.0,132.0,0.0,0.0,22.0,0.0
All Types Of Building,Region Ii (Cagayan Valley),Isabela,2020,405425.0,422569.0,1695178.0,405425.0,372559.0,31733.0,1012.0,87.0,0.0,0.0,34.0,0.0
Apartment/Accessoria/Row House,Region Ii (Cagayan Valley),Isabela,2020,3203.0,3282.0,11161.0,3203.0,2243.0,859.0,91.0,10.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Ii (Cagayan Valley),Isabela,2020,381.0,392.0,1449.0,381.0,249.0,104.0,22.0,6.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Ii (Cagayan Valley),Isabela,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Ii (Cagayan Valley),Isabela,2020,10277.0,10616.0,40017.0,10277.0,9183.0,1047.0,45.0,1.0,0.0,0.0,1.0,0.0
Institutional Living Quarter,Region Ii (Cagayan Valley),Isabela,2020,21.0,21.0,66.0,21.0,12.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Ii (Cagayan Valley),Isabela,2020,2.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,Region Ii (Cagayan Valley),Isabela,2020,2709.0,2754.0,10079.0,2709.0,2282.0,403.0,24.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Ii (Cagayan Valley),Isabela,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Region Ii (Cagayan Valley),Isabela,2020,388832.0,405502.0,1632395.0,388832.0,358590.0,29313.0,828.0,70.0,0.0,0.0,31.0,0.0
All Types Of Building,Region Ii (Cagayan Valley),Nueva Vizcaya,2020,124274.0,128175.0,496527.0,124274.0,106963.0,16503.0,723.0,70.0,0.0,0.0,11.0,4.0
Apartment/Accessoria/Row House,Region Ii (Cagayan Valley),Nueva Vizcaya,2020,2026.0,2082.0,6605.0,2026.0,1235.0,602.0,156.0,33.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Ii (Cagayan Valley),Nueva Vizcaya,2020,297.0,311.0,1012.0,297.0,244.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Ii (Cagayan Valley),Nueva Vizcaya,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Ii (Cagayan Valley),Nueva Vizcaya,2020,3001.0,3096.0,10962.0,3001.0,2397.0,583.0,19.0,1.0,0.0,0.0,1.0,0.0
Institutional Living Quarter,Region Ii (Cagayan Valley),Nueva Vizcaya,2020,10.0,10.0,36.0,10.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Ii (Cagayan Valley),Nueva Vizcaya,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Ii (Cagayan Valley),Nueva Vizcaya,2020,903.0,911.0,3142.0,903.0,608.0,263.0,25.0,7.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Ii (Cagayan Valley),Nueva Vizcaya,2020,4.0,7.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Single House,Region Ii (Cagayan Valley),Nueva Vizcaya,2020,118033.0,121758.0,474748.0,118033.0,102471.0,15009.0,514.0,29.0,0.0,0.0,10.0,0.0
All Types Of Building,Region Ii (Cagayan Valley),Quirino,2020,49067.0,49545.0,203529.0,49067.0,45938.0,3038.0,66.0,12.0,0.0,0.0,11.0,2.0
Apartment/Accessoria/Row House,Region Ii (Cagayan Valley),Quirino,2020,38.0,38.0,116.0,38.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Ii (Cagayan Valley),Quirino,2020,117.0,117.0,438.0,117.0,75.0,25.0,11.0,6.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Ii (Cagayan Valley),Quirino,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Ii (Cagayan Valley),Quirino,2020,462.0,466.0,1771.0,462.0,426.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Ii (Cagayan Valley),Quirino,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Ii (Cagayan Valley),Quirino,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Ii (Cagayan Valley),Quirino,2020,132.0,133.0,441.0,132.0,124.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Ii (Cagayan Valley),Quirino,2020,2.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Single House,Region Ii (Cagayan Valley),Quirino,2020,48316.0,48789.0,200755.0,48316.0,45280.0,2964.0,55.0,6.0,0.0,0.0,11.0,0.0
All Types Of Building,Region Iii (Central Luzon),Aurora,2020,56540.0,57036.0,234990.0,56540.0,52675.0,3692.0,152.0,7.0,1.0,0.0,9.0,4.0
