Region,City/Province,Year,"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 2,Unnamed: 3,Unnamed: 4,"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"
REGION VII (CENTRAL VISAYAS),City of Lapu-Lapu (Opon),2020,,127300,129628,494605,,,,,,,,,,,,,
REGION VII (CENTRAL VISAYAS),City of Mandaue,2020,,99903,102750,359032,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Biliran,2020,,42634,43049,178711,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Eastern Samar,2020,,114960,115766,475818,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Leyte,2020,,438893,443328,1770416,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Northern Samar,2020,,137759,139842,636790,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Samar (Western Samar),2020,,178614,181732,790851,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),Southern Leyte,2020,,100046,100860,428465,,,,,,,,,,,,,
REGION VIII (EASTERN VISAYAS),City of Tacloban,2020,,55353,57236,249390,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,2020,,240805,247968,1046014,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,2020,,232500,239224,1048302,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,2020,,151206,154664,668639,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),City of Isabela*,2020,,24305,26646,130121,,,,,,,,,,,,,
REGION IX (ZAMBOANGA PENINSULA),City of Zamboanga,2020,,209521,226783,966591,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Bukidnon,2020,,347980,357098,1537581,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Camiguin,2020,,21821,22281,92696,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Lanao del Norte,2020,,137943,161392,721413,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Misamis Occidental,2020,,145529,149125,614710,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),Misamis Oriental,2020,,218537,230203,954901,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),City of Cagayan de Oro,2020,,177951,190099,723249,,,,,,,,,,,,,
REGION X (NORTHERN MINDANAO),City of Iligan,2020,,81781,87222,362148,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao de Oro (Compostela Valley),2020,,184649,188900,766253,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao del Norte,2020,,264129,271649,1115154,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao del Sur,2020,,176400,181436,674783,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Occidental,2020,,76739,78182,316893,,,,,,,,,,,,,
REGION XI (DAVAO REGION),Davao Oriental,2020,,134328,140059,574975,,,,,,,,,,,,,
REGION XI (DAVAO REGION),City of Davao,2020,,449615,476086,1770254,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Cotabato (North Cotabato),2020,,300107,306710,1266448,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Sarangani,2020,,130972,133863,558065,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),South Cotabato,2020,,238720,244981,973136,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),Sultan Kudarat,2020,,195885,202730,851254,,,,,,,,,,,,,
REGION XII (SOCCSKSARGEN),City of General Santos (Dadiangas),2020,,171495,175340,695391,,,,,,,,,,,,,
REGION XIII (CARAGA),Agusan del Norte,2020,,88064,90991,386125,,,,,,,,,,,,,
REGION XIII (CARAGA),Agusan del Sur,2020,,171961,173953,737953,,,,,,,,,,,,,
REGION XIII (CARAGA),Dinagat Islands,2020,,28447,29391,127963,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao del Norte,2020,,123575,126542,528740,,,,,,,,,,,,,
REGION XIII (CARAGA),Surigao del Sur,2020,,147305,150535,640456,,,,,,,,,,,,,
REGION XIII (CARAGA),City of Butuan,2020,,86483,89401,370902,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Basilan,2020,,69327,73419,425111,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Lanao del Sur,2020,,130552,181511,1179268,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Maguindanao,2020,,266763,287283,1666348,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Sulu,2020,,146622,164729,991122,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Tawi-Tawi,2020,,65741,74757,438526,,,,,,,,,,,,,
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Eight (8) Area Clusters**,2020,,45870,47667,215344,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Manila,2020,,252720,277663,1087466,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Mandaluyong,2020,,55824,60997,236713,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Marikina,2020,,77125,82978,365761,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Pasig,2020,,113387,124121,489493,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),Quezon City,2020,,521248,554889,2270637,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of San Juan,2020,,15478,16664,68052,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Caloocan,2020,,294947,314759,1311387,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Malabon,2020,,77315,82935,335554,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Navotas,2020,,46919,53708,209511,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Valenzuela,2020,,112612,123616,465998,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Las Piñas,2020,,111899,123735,485181,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Makati,2020,,70814,73564,285535,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Muntinlupa,2020,,89550,98562,382472,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Parañaque,2020,,131629,140583,545000,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),Pasay City,2020,,56954,65408,239843,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),City of Taguig,2020,,122616,135188,501736,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),Pateros,2020,,10151,11646,48659,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,2020,,56294,58304,247925,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,2020,,28270,28743,123480,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,2020,,107550,108394,433168,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,2020,,48063,48437,205930,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,2020,,47595,47894,228685,,,,,,,,,,,,,
