Region,IncomeGroup,Value,Year
Masbate,1st Decile,3154.52,2021
Sorsogon,2nd Decile,3095.48,2021
REGION VI - WESTERN VISAYAS,4th Decile,22002.47,2021
Aklan,5th Decile,2921.08,2021
Antique,6th Decile,2835.17,2021
Capiz,7th Decile,3992.22,2021
Iloilo (Excluding City of Iloilo),8th Decile,8778.11,2021
City of Iloilo,9th Decile,3062.63,2021
Guimaras,10th Decile,823.33,2021
NEGROS ISLAND REGION,1st Decile,19518,2021
Negros Occidental (Excluding City of Bacolod),2nd Decile,10147.35,2021
City of Bacolod,3rd Decile,4044.75,2021
Negros Oriental,4th Decile,5367.79,2021
Siquijor,5th Decile,568.5,2021
REGION VII - CENTRAL VISAYAS,7th Decile,34441.05,2021
Bohol,8th Decile,5689.37,2021
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),9th Decile,15770.4,2021
City of Cebu,10th Decile,6724.71,2021
City of Lapu-Lapu (Opon),All Income Groups,3901.54,2021
City of Mandaue ,1st Decile,3147.27,2021
REGION VIII - EASTERN VISAYAS,3rd Decile,18193.64,2021
Eastern Samar,4th Decile,1981.56,2021
Leyte (Excluding City of Tacloban),5th Decile,6455.67,2021
City of Tacloban,6th Decile,1226.08,2021
Northern Samar,7th Decile,2716.53,2021
Samar (Western Samar),8th Decile,3063.9,2021
Southern Leyte,9th Decile,1698.52,2021
Biliran,10th Decile,787.92,2021
REGION IX - ZAMBOANGA PENINSULA,1st Decile,14920,2021
Zamboanga Del Norte,2nd Decile,3625.72,2021
Zamboanga Del Sur (Excluding City of Zamboanga),3rd Decile,3388.5,2021
City of Zamboanga,4th Decile,4663.47,2021
Zamboanga Sibugay,5th Decile,2328.73,2021
Isabela City,6th Decile,493.41,2021
REGION X - NORTHERN MINDANAO,8th Decile,21521.8,2021
Bukidnon,9th Decile,6350.51,2021
Camiguin,10th Decile,421.39,2021
Lanao Del Norte (Excluding City of Iligan),All Income Groups,2279.84,2021
City of Iligan,1st Decile,1792.61,2021
Misamis Occidental,2nd Decile,2393.72,2021
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",3rd Decile,4092.58,2021
City of Cagayan de Oro,4th Decile,5089.8,2021
REGION XI - DAVAO REGION,6th Decile,28274.39,2021
Davao Del Norte,7th Decile,5357.99,2021
Davao Del Sur (Excluding City of Davao),8th Decile,3731.64,2021
City of Davao,9th Decile,13949.02,2021
Davao Oriental,10th Decile,2214.96,2021
Davao De Oro,All Income Groups,3134.93,2021
Davao Occidental,1st Decile,1111.39,2021
REGION XII - SOCCSKSARGEN1/,3rd Decile,18714.48,2021
Cotabato (North Cotabato),4th Decile,6304.08,2021
South Cotabato (Excluding City of General Santos),5th Decile,4438.96,2021
City of General Santos (Dadiangas),6th Decile,3514.63,2021
Sultan Kudarat,7th Decile,2880.11,2021
Sarangani,8th Decile,1797.41,2021
CARAGA,10th Decile,10800.05,2021
Agusan Del Norte (Excluding City of Butuan),All Income Groups,1469.31,2021
City of Butuan,1st Decile,1856.86,2021
Agusan Del Sur,2nd Decile,2486.34,2021
Surigao Del Norte,3rd Decile,2257.69,2021
Surigao Del Sur,4th Decile,2492.25,2021
Dinagat Islands,5th Decile,503.23,2021
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,7th Decile,13295.92,2021
Basilan,8th Decile,910.09,2021
Lanao Del Sur,9th Decile,4236.25,2021
Maguindanao ,10th Decile,3271.26,2021
Maguindanao del Norte,All Income Groups,,2021
Maguindanao del Sur,1st Decile,,2021
Sulu,2nd Decile,2369.02,2021
Tawi-Tawi,3rd Decile,1154.59,2021
Cotabato City,4th Decile,1197.05,2021
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",5th Decile,,2021
Notes:,7th Decile,,2021
p - Estimates are preliminary and may change,8th Decile,,2021
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",9th Decile,,2021
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",10th Decile,,2021
Details may not add up to total due to rounding.,All Income Groups,,2021
PHILIPPINES,1st Decile,691035.99,2021
NATIONAL CAPITAL REGION,3rd Decile,134488.1,2021
NCR I,4th Decile,,2021
City of Manila,5th Decile,18747.08,2021
NCR II,6th Decile,,2021
City of Mandaluyong,7th Decile,5908.25,2021
City of San Juan,8th Decile,1263.61,2021
Quezon City,9th Decile,27241.02,2021
City of Marikina,10th Decile,4452.57,2021
City of Pasig,All Income Groups,8477,2021
NCR III,1st Decile,,2021
City of Caloocan,2nd Decile,12638.44,2021
City of Malabon,3rd Decile,3258.91,2021
City of Navotas,4th Decile,2075.61,2021
City of Valenzuela,5th Decile,5728.56,2021
NCR IV,6th Decile,,2021
City of Las Piñas,7th Decile,6565.61,2021
City of Muntinlupa,8th Decile,5836.26,2021
City of Parañaque,9th Decile,7372.59,2021
Pasay City,10th Decile,4483.05,2021
City of Makati,All Income Groups,10612.38,2021
Pateros,1st Decile,507.65,2021
City of Taguig,2nd Decile,9219.16,2021
CAR - CORDILLERA ADMINISTRATIVE REGION,4th Decile,13059.27,2021
Abra,5th Decile,1236.98,2021
Benguet (Excluding City of Baguio),6th Decile,3554.32,2021
City of Baguio,7th Decile,3883.05,2021
Ifugao,8th Decile,1299.62,2021
Kalinga,9th Decile,1328.19,2021
Mountain Province,10th Decile,832.08,2021
Apayao,All Income Groups,695.38,2021
REGION I - ILOCOS REGION,2nd Decile,31395,2021
Ilocos Norte,3rd Decile,4940.29,2021
Ilocos Sur,4th Decile,4343.13,2021
La Union,5th Decile,5482.32,2021
Pangasinan,6th Decile,17639.32,2021
REGION II - CAGAYAN VALLEY,8th Decile,20073.37,2021
Batanes,9th Decile,228.39,2021
Cagayan,10th Decile,6573.5,2021
Isabela,All Income Groups,9032.7,2021
Nueva Vizcaya,1st Decile,2856.35,2021
Quirino,2nd Decile,1147.45,2021
REGION III - CENTRAL LUZON,4th Decile,90308.7,2021
Aurora,5th Decile,1196.01,2021
Bataan,6th Decile,6382.95,2021
Bulacan,7th Decile,26006.34,2021
Nueva Ecija,8th Decile,13588.87,2021
Pampanga (Excluding City of Angeles),9th Decile,20090.63,2021
City of Angeles,10th Decile,5289.04,2021
Tarlac,All Income Groups,9527.58,2021
Zambales (Excluding City of Olongapo),1st Decile,3715.66,2021
City of Olongapo,2nd Decile,1918.49,2021
REGION IVA - CALABARZON,4th Decile,135159.05,2021
Batangas,5th Decile,25011.22,2021
Cavite,6th Decile,38078.24,2021
Laguna,7th Decile,30778.49,2021
Quezon (Excluding City of Lucena),8th Decile,8672.98,2021
City of Lucena,9th Decile,1932.87,2021
Rizal,10th Decile,27043.22,2021
MIMAROPA REGION,1st Decile,15697.46,2021
Marinduque,2nd Decile,1089.89,2021
Occidental Mindoro,3rd Decile,2593.24,2021
Oriental Mindoro,4th Decile,4774.36,2021
Palawan (Excluding City of Puerto Princesa),5th Decile,4457.98,2021
City of Puerto Princesa,6th Decile,1787.63,2021
Romblon,7th Decile,1208.3,2021
REGION V - BICOL REGION,9th Decile,26158.77,2021
Albay,10th Decile,7143.79,2021
Camarines Norte,All Income Groups,3007.9,2021
Camarines Sur,1st Decile,8613.83,2021
Catanduanes,2nd Decile,1311.62,2021
Masbate,3rd Decile,3360.93,2021
Sorsogon,4th Decile,3409.42,2021
REGION VI - WESTERN VISAYAS,6th Decile,25943.48,2021
Aklan,7th Decile,3091.04,2021
Antique,8th Decile,2971.82,2021
Capiz,9th Decile,4252.9,2021
Iloilo (Excluding City of Iloilo),10th Decile,11245.46,2021
City of Iloilo,All Income Groups,3295.54,2021
Guimaras,1st Decile,795.26,2021
NEGROS ISLAND REGION,3rd Decile,22072.03,2021
Negros Occidental (Excluding City of Bacolod),4th Decile,11594.3,2021
City of Bacolod,5th Decile,4342.04,2021
Negros Oriental,6th Decile,6256.54,2021
Siquijor,7th Decile,625.57,2021
REGION VII - CENTRAL VISAYAS,9th Decile,37884.86,2021
Bohol,10th Decile,6519.06,2021
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),All Income Groups,16646.05,2021
City of Cebu,1st Decile,7768.03,2021
City of Lapu-Lapu (Opon),2nd Decile,4138.29,2021
City of Mandaue ,3rd Decile,3711.34,2021
REGION VIII - EASTERN VISAYAS,5th Decile,20321.04,2021
Eastern Samar,6th Decile,2126.21,2021
Leyte (Excluding City of Tacloban),7th Decile,8082.11,2021
City of Tacloban,8th Decile,1643.31,2021
Northern Samar,9th Decile,2922.46,2021
Samar (Western Samar),10th Decile,3222.31,2021
Southern Leyte,All Income Groups,1873.65,2021
Biliran,1st Decile,886.9,2021
REGION IX - ZAMBOANGA PENINSULA,3rd Decile,16401.19,2021
Zamboanga Del Norte,4th Decile,3800.89,2021
Zamboanga Del Sur (Excluding City of Zamboanga),5th Decile,3984.42,2021
City of Zamboanga,6th Decile,5229.2,2021
Zamboanga Sibugay,7th Decile,2551.94,2021
Isabela City,8th Decile,543.05,2021
REGION X - NORTHERN MINDANAO,10th Decile,23604.88,2021
Bukidnon,All Income Groups,6930.68,2021
Camiguin,1st Decile,484.33,2021
Lanao Del Norte (Excluding City of Iligan),2nd Decile,2529.85,2021
City of Iligan,3rd Decile,2185.28,2021
Misamis Occidental,4th Decile,2468.11,2021
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",5th Decile,4309.54,2021
City of Cagayan de Oro,6th Decile,5577.13,2021
REGION XI - DAVAO REGION,8th Decile,31428.78,2021
Davao Del Norte,9th Decile,5439.14,2021
Davao Del Sur (Excluding City of Davao),10th Decile,4011.97,2021
City of Davao,All Income Groups,15444,2021
Davao Oriental,1st Decile,2455.74,2021
Davao De Oro,2nd Decile,3409.23,2021
Davao Occidental,3rd Decile,1188.13,2021
REGION XII - SOCCSKSARGEN1/,5th Decile,20743.47,2021
Cotabato (North Cotabato),6th Decile,6843.54,2021
South Cotabato (Excluding City of General Santos),7th Decile,5327.82,2021
City of General Santos (Dadiangas),8th Decile,3925.21,2021
Sultan Kudarat,9th Decile,3040.37,2021
Sarangani,10th Decile,1943.2,2021
CARAGA,1st Decile,12194.64,2021
Agusan Del Norte (Excluding City of Butuan),2nd Decile,1596.5,2021
City of Butuan,3rd Decile,2089.28,2021
Agusan Del Sur,4th Decile,2845.82,2021
Surigao Del Norte,5th Decile,2316.28,2021
Surigao Del Sur,6th Decile,2589.73,2021
Dinagat Islands,7th Decile,541.83,2021
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,9th Decile,13886.08,2021
Basilan,10th Decile,961.02,2021
Lanao Del Sur,All Income Groups,4294.51,2021
Maguindanao ,1st Decile,3343.21,2021
Maguindanao del Norte,2nd Decile,,2021
Maguindanao del Sur,3rd Decile,,2021
Sulu,4th Decile,2420.55,2021
Tawi-Tawi,5th Decile,1224.35,2021
Cotabato City,6th Decile,1159.98,2021
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",7th Decile,,2021
Notes:,9th Decile,,2021
p - Estimates are preliminary and may change,10th Decile,,2021
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",All Income Groups,,2021
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",1st Decile,,2021
Details may not add up to total due to rounding.,2nd Decile,,2021
PHILIPPINES,3rd Decile,799717.89,2021
NATIONAL CAPITAL REGION,5th Decile,148349.74,2021
NCR I,6th Decile,,2021
City of Manila,7th Decile,21382.04,2021
NCR II,8th Decile,,2021
City of Mandaluyong,9th Decile,6108.5,2021
City of San Juan,10th Decile,1698.37,2021
Quezon City,All Income Groups,31191.57,2021
City of Marikina,1st Decile,5140.25,2021
City of Pasig,2nd Decile,9076.68,2021
NCR III,3rd Decile,,2021
City of Caloocan,4th Decile,13693.4,2021
City of Malabon,5th Decile,3351.83,2021
City of Navotas,6th Decile,2167.24,2021
City of Valenzuela,7th Decile,6971.48,2021
NCR IV,8th Decile,,2021
City of Las Piñas,9th Decile,6798.1,2021
City of Muntinlupa,10th Decile,6395.2,2021
City of Parañaque,All Income Groups,9172.76,2021
Pasay City,1st Decile,5070.6,2021
City of Makati,2nd Decile,10311.39,2021
Pateros,3rd Decile,601.87,2021
City of Taguig,4th Decile,10476.48,2021
CAR - CORDILLERA ADMINISTRATIVE REGION,6th Decile,14690.95,2021
Abra,7th Decile,1347.06,2021
Benguet (Excluding City of Baguio),8th Decile,4027.76,2021
City of Baguio,9th Decile,4709.76,2021
Ifugao,10th Decile,1453.95,2021
Kalinga,All Income Groups,1725.99,2021
Mountain Province,1st Decile,953.07,2021
Apayao,2nd Decile,731.17,2021
REGION I - ILOCOS REGION,4th Decile,34672.24,2021
Ilocos Norte,5th Decile,5088.1,2021
Ilocos Sur,6th Decile,4907.43,2021
La Union,7th Decile,5972.47,2021
Pangasinan,8th Decile,19306.11,2021
REGION II - CAGAYAN VALLEY,10th Decile,22666.08,2021
Batanes,All Income Groups,258.21,2021
Cagayan,1st Decile,7536.42,2021
Isabela,2nd Decile,10107.81,2021
Nueva Vizcaya,3rd Decile,3374.16,2021
Quirino,4th Decile,1272.68,2021
REGION III - CENTRAL LUZON,6th Decile,98768.22,2021
Aurora,7th Decile,1431.43,2021
Bataan,8th Decile,7075.05,2021
Bulacan,9th Decile,30471.34,2021
Nueva Ecija,10th Decile,15138.33,2021
Pampanga (Excluding City of Angeles),All Income Groups,21338.51,2021
City of Angeles,1st Decile,5551.37,2021
Tarlac,2nd Decile,10801.66,2021
Zambales (Excluding City of Olongapo),3rd Decile,4233.61,2021
City of Olongapo,4th Decile,2229.36,2021
REGION IVA - CALABARZON,6th Decile,149952.62,2021
Batangas,7th Decile,26880.54,2021
Cavite,8th Decile,43195.63,2021
Laguna,9th Decile,35469.85,2021
Quezon (Excluding City of Lucena),10th Decile,10094.18,2021
City of Lucena,All Income Groups,2112.32,2021
Rizal,1st Decile,32114.31,2021
MIMAROPA REGION,3rd Decile,17357.48,2021
Marinduque,4th Decile,1219.86,2021
Occidental Mindoro,5th Decile,2708.07,2021
Oriental Mindoro,6th Decile,5599.73,2021
Palawan (Excluding City of Puerto Princesa),7th Decile,4796.9,2021
City of Puerto Princesa,8th Decile,2129.83,2021
Romblon,9th Decile,1200.34,2021
REGION V - BICOL REGION,All Income Groups,28810.5,2021
Albay,1st Decile,7547.84,2021
Camarines Norte,2nd Decile,3535.69,2021
Camarines Sur,3rd Decile,9032.67,2021
Catanduanes,4th Decile,1444.56,2021
Masbate,5th Decile,3669.26,2021
Sorsogon,6th Decile,3600.09,2021
REGION VI - WESTERN VISAYAS,8th Decile,28840.66,2021
Aklan,9th Decile,3450.76,2021
Antique,10th Decile,3244.4,2021
Capiz,All Income Groups,4646.84,2021
Iloilo (Excluding City of Iloilo),1st Decile,12918.66,2021
City of Iloilo,2nd Decile,4143.92,2021
Guimaras,3rd Decile,1059.17,2021
NEGROS ISLAND REGION,5th Decile,24805.46,2021
Negros Occidental (Excluding City of Bacolod),6th Decile,12082.07,2021
City of Bacolod,7th Decile,4925.87,2021
Negros Oriental,8th Decile,6891.79,2021
Siquijor,9th Decile,660.84,2021
REGION VII - CENTRAL VISAYAS,All Income Groups,44235.05,2021
Bohol,1st Decile,6731.84,2021
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),2nd Decile,18297.46,2021
City of Cebu,3rd Decile,8429.98,2021
City of Lapu-Lapu (Opon),4th Decile,4964.67,2021
City of Mandaue ,5th Decile,4062.28,2021
REGION VIII - EASTERN VISAYAS,7th Decile,23033.68,2021
Eastern Samar,8th Decile,2531.49,2021
Leyte (Excluding City of Tacloban),9th Decile,8845.43,2021
City of Tacloban,10th Decile,1902.08,2021
Northern Samar,All Income Groups,3070.3,2021
Samar (Western Samar),1st Decile,3637.77,2021
Southern Leyte,2nd Decile,2074.46,2021
Biliran,3rd Decile,997.69,2021
REGION IX - ZAMBOANGA PENINSULA,5th Decile,17842.83,2021
Zamboanga Del Norte,6th Decile,4149.28,2021
Zamboanga Del Sur (Excluding City of Zamboanga),7th Decile,4367.27,2021
City of Zamboanga,8th Decile,5403.7,2021
Zamboanga Sibugay,9th Decile,3017.13,2021
Isabela City,10th Decile,573.16,2021
REGION X - NORTHERN MINDANAO,1st Decile,27669.69,2021
Bukidnon,2nd Decile,7441.01,2021
Camiguin,3rd Decile,541.12,2021
Lanao Del Norte (Excluding City of Iligan),4th Decile,2696.59,2021
City of Iligan,5th Decile,2495.25,2021
Misamis Occidental,6th Decile,2852.03,2021
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",7th Decile,4985.7,2021
City of Cagayan de Oro,8th Decile,6835.23,2021
REGION XI - DAVAO REGION,10th Decile,35652.57,2021
Davao Del Norte,All Income Groups,6204.17,2021
Davao Del Sur (Excluding City of Davao),1st Decile,4599.74,2021
City of Davao,2nd Decile,17876.39,2021
Davao Oriental,3rd Decile,2750.52,2021
Davao De Oro,4th Decile,3540.72,2021
Davao Occidental,5th Decile,1271.28,2021
REGION XII - SOCCSKSARGEN1/,7th Decile,23741.64,2021
Cotabato (North Cotabato),8th Decile,7923.39,2021
South Cotabato (Excluding City of General Santos),9th Decile,5995.76,2021
City of General Santos (Dadiangas),10th Decile,4540.31,2021
Sultan Kudarat,All Income Groups,3434.35,2021
Sarangani,1st Decile,2234.91,2021
CARAGA,3rd Decile,13714.5,2021
Agusan Del Norte (Excluding City of Butuan),4th Decile,1919.8,2021
City of Butuan,5th Decile,2396.74,2021
Agusan Del Sur,6th Decile,3247.45,2021
Surigao Del Norte,7th Decile,2701.38,2021
Surigao Del Sur,8th Decile,3021.09,2021
Dinagat Islands,9th Decile,655.99,2021
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,All Income Groups,14822.36,2021
Basilan,1st Decile,947.61,2021
Lanao Del Sur,2nd Decile,4109.15,2021
Maguindanao ,3rd Decile,3666.17,2021
Maguindanao del Norte,4th Decile,,2021
Maguindanao del Sur,5th Decile,,2021
Sulu,6th Decile,2411.67,2021
Tawi-Tawi,7th Decile,1328.01,2021
Cotabato City,8th Decile,1273.69,2021
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",9th Decile,,2021
Notes:,All Income Groups,,2021
p - Estimates are preliminary and may change,1st Decile,,2021
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",2nd Decile,,2021
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",3rd Decile,,2021
Details may not add up to total due to rounding.,4th Decile,,2021
PHILIPPINES,5th Decile,954449.33,2021
NATIONAL CAPITAL REGION,7th Decile,169983.54,2021
NCR I,8th Decile,,2021
City of Manila,9th Decile,23313.65,2021
NCR II,10th Decile,,2021
City of Mandaluyong,All Income Groups,7377.02,2021
City of San Juan,1st Decile,1634.49,2021
Quezon City,2nd Decile,35536.29,2021
City of Marikina,3rd Decile,6136.91,2021
City of Pasig,4th Decile,11063.25,2021
NCR III,5th Decile,,2021
City of Caloocan,6th Decile,15020.12,2021
City of Malabon,7th Decile,3674.22,2021
City of Navotas,8th Decile,2309.39,2021
City of Valenzuela,9th Decile,7374.7,2021
NCR IV,10th Decile,,2021
City of Las Piñas,All Income Groups,7748.51,2021
City of Muntinlupa,1st Decile,7899.76,2021
City of Parañaque,2nd Decile,10429.75,2021
Pasay City,3rd Decile,5922.81,2021
City of Makati,4th Decile,10838.87,2021
Pateros,5th Decile,621.12,2021
City of Taguig,6th Decile,11279.65,2021
CAR - CORDILLERA ADMINISTRATIVE REGION,8th Decile,17590.63,2021
Abra,9th Decile,1572.45,2021
Benguet (Excluding City of Baguio),10th Decile,4634.49,2021
City of Baguio,All Income Groups,5294.33,2021
Ifugao,1st Decile,1727.88,2021
Kalinga,2nd Decile,2049.7,2021
Mountain Province,3rd Decile,1090.36,2021
Apayao,4th Decile,854.88,2021
REGION I - ILOCOS REGION,6th Decile,42234.41,2021
Ilocos Norte,7th Decile,5641.89,2021
Ilocos Sur,8th Decile,6360.82,2021
La Union,9th Decile,7543.84,2021
Pangasinan,10th Decile,20740.8,2021
REGION II - CAGAYAN VALLEY,1st Decile,26920.05,2021
Batanes,2nd Decile,268.09,2021
Cagayan,3rd Decile,9551.83,2021
Isabela,4th Decile,11802.56,2021
Nueva Vizcaya,5th Decile,3971.41,2021
Quirino,6th Decile,1626.55,2021
REGION III - CENTRAL LUZON,8th Decile,113102.82,2021
Aurora,9th Decile,1595.95,2021
Bataan,10th Decile,8559.97,2021
Bulacan,All Income Groups,33663.69,2021
Nueva Ecija,1st Decile,16188.33,2021
Pampanga (Excluding City of Angeles),2nd Decile,23676.55,2021
City of Angeles,3rd Decile,6160.52,2021
Tarlac,4th Decile,12190.41,2021
Zambales (Excluding City of Olongapo),5th Decile,4568.97,2021
City of Olongapo,6th Decile,2370.3,2021
REGION IVA - CALABARZON,8th Decile,173252.1,2021
Batangas,9th Decile,34258.81,2021
Cavite,10th Decile,46207.2,2021
Laguna,All Income Groups,39439.6,2021
Quezon (Excluding City of Lucena),1st Decile,11324.58,2021
City of Lucena,2nd Decile,2467.61,2021
Rizal,3rd Decile,34946.29,2021
MIMAROPA REGION,5th Decile,20732.94,2021
Marinduque,6th Decile,1308.57,2021
Occidental Mindoro,7th Decile,3502.41,2021
Oriental Mindoro,8th Decile,6613.13,2021
Palawan (Excluding City of Puerto Princesa),9th Decile,5408.29,2021
City of Puerto Princesa,10th Decile,2849.55,2021
Romblon,All Income Groups,1419.55,2021
REGION V - BICOL REGION,2nd Decile,34927.32,2021
Albay,3rd Decile,9237.68,2021
Camarines Norte,4th Decile,3883.88,2021
Camarines Sur,5th Decile,11639.53,2021
Catanduanes,6th Decile,1773.73,2021
Masbate,7th Decile,3695.36,2021
Sorsogon,8th Decile,3912.2,2021
REGION VI - WESTERN VISAYAS,10th Decile,35762.86,2021
Aklan,All Income Groups,4183.11,2021
Antique,1st Decile,4323.71,2021
Capiz,2nd Decile,5014.73,2021
Iloilo (Excluding City of Iloilo),3rd Decile,16941.14,2021
City of Iloilo,4th Decile,4934.66,2021
Guimaras,5th Decile,1136.8,2021
NEGROS ISLAND REGION,7th Decile,27346.8,2021
Negros Occidental (Excluding City of Bacolod),8th Decile,13542.04,2021
City of Bacolod,9th Decile,5593.22,2021
Negros Oriental,10th Decile,8271.67,2021
Siquijor,All Income Groups,807.18,2021
REGION VII - CENTRAL VISAYAS,2nd Decile,53563.64,2021
Bohol,3rd Decile,8426.44,2021
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),4th Decile,23709.49,2021
City of Cebu,5th Decile,9997.69,2021
City of Lapu-Lapu (Opon),6th Decile,5192.53,2021
City of Mandaue ,7th Decile,4325.71,2021
REGION VIII - EASTERN VISAYAS,9th Decile,28324.68,2021
Eastern Samar,10th Decile,3162.61,2021
Leyte (Excluding City of Tacloban),All Income Groups,11318.72,2021
City of Tacloban,1st Decile,2746.8,2021
Northern Samar,2nd Decile,3462.8,2021
Samar (Western Samar),3rd Decile,4348.14,2021
Southern Leyte,4th Decile,2658.05,2021
Biliran,5th Decile,1211.94,2021
REGION IX - ZAMBOANGA PENINSULA,7th Decile,21405.96,2021
Zamboanga Del Norte,8th Decile,5070.5,2021
Zamboanga Del Sur (Excluding City of Zamboanga),9th Decile,5076.62,2021
City of Zamboanga,10th Decile,6141.31,2021
Zamboanga Sibugay,All Income Groups,3369.02,2021
Isabela City,1st Decile,588.43,2021
REGION X - NORTHERN MINDANAO,3rd Decile,31728.02,2021
Bukidnon,4th Decile,8860.57,2021
Camiguin,5th Decile,622.56,2021
Lanao Del Norte (Excluding City of Iligan),6th Decile,3194.54,2021
City of Iligan,7th Decile,2967.03,2021
Misamis Occidental,8th Decile,3340.23,2021
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",9th Decile,5451.72,2021
City of Cagayan de Oro,10th Decile,8034.9,2021
REGION XI - DAVAO REGION,1st Decile,42233.38,2021
Davao Del Norte,2nd Decile,7039.44,2021
Davao Del Sur (Excluding City of Davao),3rd Decile,4778.19,2021
City of Davao,4th Decile,21296.53,2021
Davao Oriental,5th Decile,2957.28,2021
Davao De Oro,6th Decile,3803.44,2021
Davao Occidental,7th Decile,1339.55,2021
REGION XII - SOCCSKSARGEN1/,9th Decile,29343.83,2021
Cotabato (North Cotabato),10th Decile,9679.93,2021
South Cotabato (Excluding City of General Santos),All Income Groups,6219.21,2021
City of General Santos (Dadiangas),1st Decile,5312.07,2021
Sultan Kudarat,2nd Decile,4315.63,2021
Sarangani,3rd Decile,2462.02,2021
CARAGA,5th Decile,16173.45,2021
Agusan Del Norte (Excluding City of Butuan),6th Decile,2131.52,2021
City of Butuan,7th Decile,2837.93,2021
Agusan Del Sur,8th Decile,3633.88,2021
Surigao Del Norte,9th Decile,3174.05,2021
Surigao Del Sur,10th Decile,3664.09,2021
Dinagat Islands,All Income Groups,805.72,2021
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,2nd Decile,14850.97,2021
Basilan,3rd Decile,1029,2021
Lanao Del Sur,4th Decile,4256.74,2021
Maguindanao ,5th Decile,3724.5,2021
Maguindanao del Norte,6th Decile,,2021
Maguindanao del Sur,7th Decile,,2021
Sulu,8th Decile,2464.67,2021
Tawi-Tawi,9th Decile,1457.85,2021
Cotabato City,10th Decile,1444.17,2021
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",All Income Groups,,2021
Notes:,2nd Decile,,2021
p - Estimates are preliminary and may change,3rd Decile,,2021
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",4th Decile,,2021
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",5th Decile,,2021
Details may not add up to total due to rounding.,6th Decile,,2021
PHILIPPINES,7th Decile,1206648.57,2021
NATIONAL CAPITAL REGION,9th Decile,187836.03,2021
NCR I,10th Decile,,2021
City of Manila,All Income Groups,26681.02,2021
NCR II,1st Decile,,2021
City of Mandaluyong,2nd Decile,7770.84,2021
City of San Juan,3rd Decile,2058.52,2021
Quezon City,4th Decile,39199.81,2021
City of Marikina,5th Decile,6930.35,2021
City of Pasig,6th Decile,11258.18,2021
NCR III,7th Decile,,2021
City of Caloocan,8th Decile,17998.65,2021
City of Malabon,9th Decile,3785.65,2021
City of Navotas,10th Decile,2493.03,2021
City of Valenzuela,All Income Groups,9328.28,2021
NCR IV,1st Decile,,2021
City of Las Piñas,2nd Decile,8774.5,2021
City of Muntinlupa,3rd Decile,8094.04,2021
City of Parañaque,4th Decile,12911.46,2021
Pasay City,5th Decile,6076.2,2021
City of Makati,6th Decile,12648.23,2021
Pateros,7th Decile,628.52,2021
City of Taguig,8th Decile,13546.87,2021
CAR - CORDILLERA ADMINISTRATIVE REGION,10th Decile,22834.9,2021
Abra,All Income Groups,2141.94,2021
