Region,IncomeGroup,Value,Year
City of Marikina,2nd Decile,2525.15,2018
City of Pasig,3rd Decile,5193.79,2018
NCR III,4th Decile,,2018
City of Caloocan,5th Decile,8804.2,2018
City of Malabon,6th Decile,2298.05,2018
City of Navotas,7th Decile,1314.04,2018
City of Valenzuela,8th Decile,4296.1,2018
NCR IV,9th Decile,,2018
City of Las Piñas,10th Decile,4412.58,2018
City of Muntinlupa,All Income Groups,3721.81,2018
City of Parañaque,1st Decile,5361.83,2018
Pasay City,2nd Decile,3082.72,2018
City of Makati,3rd Decile,6228.52,2018
Pateros,4th Decile,347.03,2018
City of Taguig,5th Decile,6478.48,2018
CAR - CORDILLERA ADMINISTRATIVE REGION,7th Decile,6673.04,2018
Abra,8th Decile,694.08,2018
Benguet (Excluding City of Baguio),9th Decile,1996.75,2018
City of Baguio,10th Decile,2274.62,2018
Ifugao,All Income Groups,771.62,2018
Kalinga,1st Decile,749.26,2018
Mountain Province,2nd Decile,488.34,2018
Apayao,3rd Decile,333.39,2018
REGION I - ILOCOS REGION,5th Decile,20719.85,2018
Ilocos Norte,6th Decile,2786.09,2018
Ilocos Sur,7th Decile,2552.97,2018
La Union,8th Decile,3319.11,2018
Pangasinan,9th Decile,12052.69,2018
REGION II - CAGAYAN VALLEY,All Income Groups,11540.87,2018
Batanes,1st Decile,107,2018
Cagayan,2nd Decile,3823.62,2018
Isabela,3rd Decile,5343.77,2018
Nueva Vizcaya,4th Decile,1764.85,2018
Quirino,5th Decile,637.8,2018
REGION III - CENTRAL LUZON,7th Decile,53981.85,2018
Aurora,8th Decile,727.45,2018
Bataan,9th Decile,4007.2,2018
Bulacan,10th Decile,16170.3,2018
Nueva Ecija,All Income Groups,8628.78,2018
Pampanga (Excluding City of Angeles),1st Decile,13280.67,2018
City of Angeles,2nd Decile,2710.55,2018
Tarlac,3rd Decile,5327.98,2018
Zambales (Excluding City of Olongapo),4th Decile,2672.41,2018
City of Olongapo,5th Decile,1421.29,2018
REGION IVA - CALABARZON,7th Decile,74341.12,2018
Batangas,8th Decile,12515.48,2018
Cavite,9th Decile,23321.84,2018
Laguna,10th Decile,18221.79,2018
Quezon (Excluding City of Lucena),All Income Groups,5987.2,2018
City of Lucena,1st Decile,1219.79,2018
Rizal,2nd Decile,18250.45,2018
MIMAROPA REGION,4th Decile,10336.37,2018
Marinduque,5th Decile,768.73,2018
Occidental Mindoro,6th Decile,1470.28,2018
Oriental Mindoro,7th Decile,3175.03,2018
Palawan (Excluding City of Puerto Princesa),8th Decile,3156.81,2018
City of Puerto Princesa,9th Decile,1348.35,2018
Romblon,10th Decile,862.84,2018
REGION V - BICOL REGION,1st Decile,17127.95,2018
Albay,2nd Decile,3975.4,2018
Camarines Norte,3rd Decile,1763.19,2018
Camarines Sur,4th Decile,6015.82,2018
Catanduanes,5th Decile,796.71,2018
Masbate,6th Decile,2195.87,2018
Sorsogon,7th Decile,2498.62,2018
REGION VI - WESTERN VISAYAS,9th Decile,16046.06,2018
Aklan,10th Decile,2169.57,2018
Antique,All Income Groups,1905.69,2018
Capiz,1st Decile,2882.34,2018
Iloilo (Excluding City of Iloilo),2nd Decile,6770.88,2018
City of Iloilo,3rd Decile,2114.28,2018
Guimaras,4th Decile,755.54,2018
NEGROS ISLAND REGION,6th Decile,13188.11,2018
Negros Occidental (Excluding City of Bacolod),7th Decile,7243.85,2018
City of Bacolod,8th Decile,2541.52,2018
Negros Oriental,9th Decile,3832.43,2018
Siquijor,10th Decile,337.89,2018
REGION VII - CENTRAL VISAYAS,1st Decile,22854.84,2018
Bohol,2nd Decile,4456.08,2018
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),3rd Decile,10324.95,2018
City of Cebu,4th Decile,4597.17,2018
City of Lapu-Lapu (Opon),5th Decile,2251.38,2018
City of Mandaue ,6th Decile,2197.03,2018
REGION VIII - EASTERN VISAYAS,8th Decile,12400.33,2018
Eastern Samar,9th Decile,1274.36,2018
Leyte (Excluding City of Tacloban),10th Decile,4766.04,2018
City of Tacloban,All Income Groups,906.96,2018
Northern Samar,1st Decile,1651.63,2018
Samar (Western Samar),2nd Decile,2212.39,2018
Southern Leyte,3rd Decile,1224.39,2018
Biliran,4th Decile,609.03,2018
REGION IX - ZAMBOANGA PENINSULA,6th Decile,9921.59,2018
Zamboanga Del Norte,7th Decile,2627.56,2018
Zamboanga Del Sur (Excluding City of Zamboanga),8th Decile,2437.63,2018
City of Zamboanga,9th Decile,3743.34,2018
Zamboanga Sibugay,10th Decile,1679.42,2018
Isabela City,All Income Groups,305.89,2018
REGION X - NORTHERN MINDANAO,2nd Decile,14541.11,2018
Bukidnon,3rd Decile,4047.44,2018
Camiguin,4th Decile,317.93,2018
Lanao Del Norte (Excluding City of Iligan),5th Decile,1973.38,2018
City of Iligan,6th Decile,1212.13,2018
Misamis Occidental,7th Decile,1721.36,2018
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",8th Decile,2701.05,2018
City of Cagayan de Oro,9th Decile,3092.93,2018
REGION XI - DAVAO REGION,All Income Groups,17588.66,2018
Davao Del Norte,1st Decile,3932.91,2018
Davao Del Sur (Excluding City of Davao),2nd Decile,2392.72,2018
City of Davao,3rd Decile,8441.72,2018
Davao Oriental,4th Decile,1779.26,2018
Davao De Oro,5th Decile,2397,2018
Davao Occidental,6th Decile,819.61,2018
REGION XII - SOCCSKSARGEN1/,8th Decile,11887.88,2018
Cotabato (North Cotabato),9th Decile,3820.52,2018
South Cotabato (Excluding City of General Santos),10th Decile,2898.34,2018
City of General Santos (Dadiangas),All Income Groups,2479.19,2018
Sultan Kudarat,1st Decile,2034.14,2018
Sarangani,2nd Decile,1055.27,2018
CARAGA,4th Decile,7468.4,2018
Agusan Del Norte (Excluding City of Butuan),5th Decile,972.83,2018
City of Butuan,6th Decile,1024.95,2018
Agusan Del Sur,7th Decile,1895.45,2018
Surigao Del Norte,8th Decile,1612.08,2018
Surigao Del Sur,9th Decile,1726.96,2018
Dinagat Islands,10th Decile,360.73,2018
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,1st Decile,8788.73,2018
Basilan,2nd Decile,650.34,2018
Lanao Del Sur,3rd Decile,2063.39,2018
Maguindanao ,4th Decile,2463.77,2018
Maguindanao del Norte,5th Decile,,2018
Maguindanao del Sur,6th Decile,,2018
Sulu,7th Decile,1854.52,2018
Tawi-Tawi,8th Decile,1012.5,2018
Cotabato City,9th Decile,855.77,2018
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",10th Decile,,2018
Notes:,1st Decile,,2018
p - Estimates are preliminary and may change,2nd Decile,,2018
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",3rd Decile,,2018
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",4th Decile,,2018
Details may not add up to total due to rounding.,5th Decile,,2018
PHILIPPINES,6th Decile,416561.68,2018
NATIONAL CAPITAL REGION,8th Decile,101204.78,2018
NCR I,9th Decile,,2018
City of Manila,10th Decile,14075.71,2018
NCR II,All Income Groups,,2018
City of Mandaluyong,1st Decile,3899.12,2018
City of San Juan,2nd Decile,968.66,2018
Quezon City,3rd Decile,20545.99,2018
City of Marikina,4th Decile,3024.7,2018
City of Pasig,5th Decile,6331.4,2018
NCR III,6th Decile,,2018
