Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
Quezon City,HUC/City,,2018,2nd Decile,19913.52,False
Quezon City,HUC/City,,2018,3rd Decile,20545.99,False
Quezon City,HUC/City,,2018,4th Decile,23706.56,False
Quezon City,HUC/City,,2018,5th Decile,26909.54,False
Quezon City,HUC/City,,2018,6th Decile,30034.67,False
Quezon City,HUC/City,,2018,7th Decile,35953.16,False
Quezon City,HUC/City,,2018,8th Decile,39623.6,False
Quezon City,HUC/City,,2018,9th Decile,50215.87,False
Quezon City,HUC/City,,2018,All Income Groups,340450.04,False
Quezon City,HUC/City,,2021,10th Decile,72498.44,False
Quezon City,HUC/City,,2021,1st Decile,17265.27,False
Quezon City,HUC/City,,2021,2nd Decile,19203.69,False
Quezon City,HUC/City,,2021,3rd Decile,22399.5,False
Quezon City,HUC/City,,2021,4th Decile,23882.82,False
Quezon City,HUC/City,,2021,5th Decile,27449.09,False
Quezon City,HUC/City,,2021,6th Decile,27241.02,False
Quezon City,HUC/City,,2021,7th Decile,31191.57,False
Quezon City,HUC/City,,2021,8th Decile,35536.29,False
Quezon City,HUC/City,,2021,9th Decile,39199.81,False
Quezon City,HUC/City,,2021,All Income Groups,315867.49,False
Quezon City,HUC/City,,2023,10th Decile,74062.25,False
Quezon City,HUC/City,,2023,1st Decile,20501.01,False
Quezon City,HUC/City,,2023,2nd Decile,25201.84,False
Quezon City,HUC/City,,2023,3rd Decile,24932.28,False
Quezon City,HUC/City,,2023,4th Decile,29128.12,False
Quezon City,HUC/City,,2023,5th Decile,30704.25,False
Quezon City,HUC/City,,2023,6th Decile,31496.79,False
Quezon City,HUC/City,,2023,7th Decile,36983.61,False
Quezon City,HUC/City,,2023,8th Decile,41553.4,False
Quezon City,HUC/City,,2023,9th Decile,44645.26,False
Quezon City,HUC/City,,2023,All Income Groups,359208.8,False
Marikina,Province,,2018,10th Decile,11331.59,False
Marikina,Province,,2018,1st Decile,2172.53,False
Marikina,Province,,2018,2nd Decile,2525.15,False
Marikina,Province,,2018,3rd Decile,3024.7,False
Marikina,Province,,2018,4th Decile,3523.89,False
Marikina,Province,,2018,5th Decile,3958.4,False
Marikina,Province,,2018,6th Decile,4241.79,False
Marikina,Province,,2018,7th Decile,4941.79,False
Marikina,Province,,2018,8th Decile,5974.21,False
Marikina,Province,,2018,9th Decile,6844.62,False
Marikina,Province,,2018,All Income Groups,48538.67,False
Marikina,Province,,2021,10th Decile,11660.71,False
Marikina,Province,,2021,1st Decile,2408.44,False
Marikina,Province,,2021,2nd Decile,2985.1,False
Marikina,Province,,2021,3rd Decile,3725.41,False
Marikina,Province,,2021,4th Decile,4062.73,False
Marikina,Province,,2021,5th Decile,3960.24,False
Marikina,Province,,2021,6th Decile,4452.57,False
Marikina,Province,,2021,7th Decile,5140.25,False
Marikina,Province,,2021,8th Decile,6136.91,False
Marikina,Province,,2021,9th Decile,6930.35,False
Marikina,Province,,2021,All Income Groups,51462.72,False
Marikina,Province,,2023,10th Decile,13378.77,False
Marikina,Province,,2023,1st Decile,3086.86,False
Marikina,Province,,2023,2nd Decile,3654.14,False
Marikina,Province,,2023,3rd Decile,3832.83,False
Marikina,Province,,2023,4th Decile,4551.19,False
Marikina,Province,,2023,5th Decile,5102.32,False
Marikina,Province,,2023,6th Decile,5477.41,False
Marikina,Province,,2023,7th Decile,6405.09,False
Marikina,Province,,2023,8th Decile,6708.86,False
Marikina,Province,,2023,9th Decile,8202.01,False
Marikina,Province,,2023,All Income Groups,60399.48,False
Pasig,Province,,2018,10th Decile,18863.82,False
Pasig,Province,,2018,1st Decile,4054.37,False
Pasig,Province,,2018,2nd Decile,5193.79,False
Pasig,Province,,2018,3rd Decile,6331.4,False
Pasig,Province,,2018,4th Decile,6688.45,False
Pasig,Province,,2018,5th Decile,7737.43,False
Pasig,Province,,2018,6th Decile,8222.33,False
