region,in_scope,province,city,location,description,price,bedrooms,bathrooms,floor_area,land_area,price_per_sqm_floor,price_per_sqm_land,price_per_bedroom,bb_ratio,far,latitude,longitude
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","RFO 5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Elaisa",10692000,5,3,97,121,110226.8041,88363.63636,2138400,1.666666667,0.801652893,15.468244,120.9764138
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","RFO 2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Ravena EU",4263000,2,1,40,60,106575,71050,2131500,2,0.666666667,15.468244,120.9764138
N/A,FALSE,N/A,Dasmarinas,"Aguinaldo Highway San Agustin I, Dasmarinas","4-Bedroom 3-Storey Townhouse for Sale in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands",9500000,4,4,132,66,71969.69697,143939.3939,2375000,1,2,14.3152974,120.9450966
NCR,TRUE,Ncr,Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa","3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit (Garden Unit)",28090000,3,3,219.3,90,128089.3753,312111.1111,9363333.333,1,2.436666667,14.4321626,121.0452418
N/A,FALSE,N/A,Compostela,"Tamiao, Compostela","4BR 2-Storey Single Detached House and Lot for Sale in Compostela, Cebu at Amoa | Asha Model",7021000,4,2,82,120,85621.95122,58508.33333,1755250,2,0.683333333,10.4382884,123.9947249
N/A,FALSE,N/A,Capas,"Talaga, Capas","Ready For You: Duplex House and Lot Side by Side for Sale in Capas, Tarlac at Ajoya Capas at Php 28,108.33 monthly amortization",3573000,N/A,2,66,80,54136.36364,44662.5,N/A,N/A,0.825,15.38374425,120.5870832
N/A,FALSE,N/A,Santa Maria,"Caysio Rd. Caysio, Santa Maria","For Sale 3BR Single Attached-Complete House and Lot in Santa Maria, Bulacan at North Orchard Residences",5183808,3,2,75.26,80,68878.66064,64797.6,1727936,1.5,0.94075,14.8482305,120.969695
N/A,FALSE,N/A,Malolos,"Longos, Malolos","3BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Cara w/ CB 99sqm",6924000,3,2,66,99,104909.0909,69939.39394,2308000,1.5,0.666666667,14.87426,120.7915336
N/A,FALSE,N/A,Tanza,"Antero Soriano Highway Sahud Ulan, Tanza","For Sale 3-Bedroom Townhouse in Tanza, Cavite at Micara Estates | PORTIA Typical Corner Unit w/ Fence",2839149,3,1,45,62,63092.2,45792.72581,946383,3,0.725806452,14.372626,120.8262141
NCR,TRUE,Ncr,Muntinlupa,"Cupang, Muntinlupa","Beautiful House and Lot with 4BR for Sale in BF East Phase 6, Muntinlupa City",43000000,4,3,400,350,107500,122857.1429,10750000,1.333333333,1.142857143,14.4378843,121.0503212
NCR,TRUE,Ncr,Muntinlupa,"DAANG HARI ALABANG Poblacion, Muntinlupa",4 Bedrooms Single House in Katarungan Village in Muntinlupa City,13000000,4,2,219,120,59360.73059,108333.3333,3250000,2,1.825,N/A,N/A
N/A,FALSE,N/A,Cabanatuan,"Emilio Vergara Hwy Santa Arcadia, Cabanatuan","RFO 2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Ravena IU",3302000,2,1,40,42,82550,78619.04762,1651000,2,0.952380952,15.468244,120.9764138
N/A,FALSE,N/A,Compostela,"Tamiao, Compostela","2BR 2-Storey Townhouse for Sale in Compostela, Cebu at Amoa | AMITA - End",4389000,2,2,53,70,82811.32075,62700,2194500,1,0.757142857,10.4382884,123.9947249
Central Luzon,TRUE,Tarlac,Camella Tarlac Access Rd. Maliwalo,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Freya w/ CB 176sqm,11245000,5,3,142,176,79190.14085,63892.04545,2249000,1.666666667,0.806818182,N/A,N/A
N/A,FALSE,N/A,General Trias,"Pasong Camachile I, General Trias","3-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | AIRA Model",5282600,3,2,80,92,66032.5,57419.56522,1760866.667,1.5,0.869565217,14.3723207,120.8976745
N/A,FALSE,N/A,Malolos,"Longos, Malolos","3BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Cara",6754000,3,2,66,99,102333.3333,68222.22222,2251333.333,1.5,0.666666667,14.87426,120.7915336
N/A,FALSE,N/A,Dasmarinas,"Governor's Dr, 4114 Dasmarinas, Philippines Paliparan I, Dasmarinas","2 Storey, 2 Bedroom, House & Lot @ Praverde Residences in Dasmariñas, Cavite",10746000,3,3,115,121,93443.47826,88809.91736,3582000,1,0.950413223,N/A,N/A
N/A,FALSE,N/A,Pavia,"Ungka II, Pavia","3-Bedroom House and Lot for Sale in Pavia, Iloilo at Parc Regency Residences | PALMS Model",3198000,3,2,60,100,53300,31980,1066000,1.5,0.6,10.7529006,122.5376029
N/A,FALSE,N/A,Calamba,"Pueblo Solana in Ciudad de Calamba Bubuyan, Calamba","Ventura Real | Sapphire 2BR House for Sale in Calamba, Laguna | Futura by Filinvest",4678200,2,1,62.8,88,74493.63057,53161.36364,2339100,2,0.713636364,N/A,N/A
NCR,TRUE,Ncr,Muntinlupa,"Km. 19 West Service Rd. Cupang, Muntinlupa","3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit (Garden Unit)",27088000,3,3,219.3,90,123520.2918,300977.7778,9029333.333,1,2.436666667,14.4321626,121.0452418
N/A,FALSE,N/A,Urdaneta,"MacArthur Hwy Anonas, Urdaneta","3BR SD House and Lot for Sale in Urdaneta, Pangasinan at Camella Urdaneta | Cara w/ CB 141sqm",8237000,3,2,66,141,124803.0303,58418.43972,2745666.667,1.5,0.468085106,16.0015834,120.5760561
N/A,FALSE,N/A,Teresa,"Manna East Dalig, Teresa","New Fields Phase 2 | 2BR House and Lot for Sale in Teresa, Rizal | Futura by Filinvest",4470800,2,1,40.31,85,110910.4441,52597.64706,2235400,2,0.474235294,14.5663993,121.2157297
N/A,FALSE,N/A,Kawit,"San Sebastian, Kawit","3-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | MARGARET Model",5690000,3,2,72,100,79027.77778,56900,1896666.667,1.5,0.72,14.4129793,120.8886677
N/A,FALSE,N/A,Silang,"Adlas, Silang","2-Storey House, 5 Bedrooms in Camella Silang Terrazas| Freya",12684000,5,3,142,174,89323.94366,72896.55172,2536800,1.666666667,0.816091954,14.2568411,120.965521
N/A,FALSE,N/A,General Trias,"Pasong Camachile I, General Trias","4-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | BRIANA Model",6756360,4,3,110,100,61421.45455,67563.6,1689090,1.333333333,1.1,14.3723207,120.8976745
